#{"t_start": 1768475795.8011153, "env_id": "None"}
r,l,t
-201.439557,1371,9.11672
-373.468073,798,35.806844
-364.835474,756,40.449527
-216.798942,1294,69.886731
-356.477664,949,79.693357
-367.505983,789,84.672337
-292.286268,910,110.147824
-352.506685,824,119.311666
-362.559601,1005,145.44251
-374.532596,722,154.256836
-349.217317,768,159.533283
-408.003337,838,186.274278
-373.06289,919,195.566286
-369.871101,942,221.901813
-293.285793,782,226.522971
-358.475146,951,258.766981
-312.042063,896,264.206207
-378.510308,867,274.477532
-391.654268,793,302.730905
-412.483181,1109,314.825952
315.382919,1210,349.035523
-380.064144,881,355.948971
-318.232109,836,382.796495
289.939675,1062,397.605517
-373.945145,892,430.946464
239.819216,765,436.666476
1556.538592,1160,469.185537
549.315805,936,474.057649
462.614186,831,498.620705
476.482572,901,512.479176
1691.276929,1619,550.94022
1477.245797,1871,587.144852
489.399179,957,601.288725
1230.75848,1021,638.523342
641.393298,879,646.536471
1565.781876,1299,681.957953
1641.240647,1535,727.035743
1712.783956,1046,734.947062
2914.641802,1557,774.942623
1710.801667,1100,788.040797
565.531343,1037,814.148157
1507.822075,1063,826.234268
1470.841707,921,852.732956
1558.419004,1093,863.223142
2835.994607,1430,894.835041
1771.585615,1152,924.657411
1743.352277,1145,934.76473
1651.823294,1041,964.576332
1872.458847,949,969.530022
1754.389389,1254,999.266512
1952.461377,1267,1008.594851
1640.03624,974,1037.651455
1638.512381,893,1042.584231
1701.164224,1021,1072.342213
1714.564664,1073,1081.109184
1678.349668,947,1106.45346
1661.447426,951,1115.363681
1872.049121,957,1141.199469
1419.85207,871,1149.91517
2866.088842,1389,1179.639828
2773.329564,1045,1184.90766
3129.154559,1444,1218.874799
1877.754502,946,1223.884132
1624.766243,813,1253.046518
2574.705657,1139,1258.417483
2559.548779,1169,1288.421666
2875.595962,1278,1318.974422
2845.248261,1284,1328.375274
1867.431781,936,1357.667527
1616.276128,889,1362.707912
2010.051342,1204,1392.704175
1906.458753,1148,1402.125891
1854.97831,1033,1431.006618
1945.715171,1107,1440.807075
1863.08748,1030,1465.976839
1446.86099,816,1470.891549
1619.62096,823,1500.290955
2792.726013,1197,1509.708933
1454.445813,876,1534.691111
2824.0706,1186,1543.860757
1771.100302,1150,1574.148961
1644.042376,891,1579.08695
2858.765821,1410,1612.917533
1645.056121,928,1618.090115
1673.828197,943,1649.29652
3073.652399,1253,1658.490041
1800.906502,840,1685.722775
1835.056479,921,1691.037605
1621.426344,758,1722.881636
1830.997295,919,1728.508686
1642.851649,862,1755.404959
1901.663149,1127,1764.512802
2572.239865,1042,1795.96525
2484.206745,914,1800.545442
1860.178854,992,1831.559383
2855.811334,1180,1840.491659
1652.476959,839,1866.964433
2761.653714,1127,1875.889532
1877.967865,918,1902.59627
1907.036581,1050,1911.003837
3093.036485,1348,1942.439305
1636.239232,769,1947.193217
2486.042042,858,1955.415776
1665.661739,942,1982.367589
1813.174161,811,1991.123625
1630.730821,849,2018.264248
1905.647374,1063,2027.594675
1418.826208,731,2056.102624
2513.020366,1047,2065.844424
1809.583389,857,2093.573773
2812.452944,1164,2103.164652
2591.744967,1064,2131.434289
1861.084544,900,2140.301975
1837.092726,951,2168.441901
1425.914685,824,2177.613384
1827.034886,819,2182.579434
1879.91728,949,2214.123641
3079.655718,1213,2223.202634
3085.953869,1348,2255.680634
1611.717608,774,2260.49106
1832.539976,858,2287.695053
1676.768682,887,2296.645302
1394.82187,761,2324.551765
1926.19617,1063,2334.218295
2755.047893,1044,2362.444975
1622.390434,857,2371.599557
1797.798508,800,2398.640946
1836.429376,930,2404.148484
2793.117152,1168,2435.70002
1652.321101,907,2444.987851
1683.739287,973,2450.225485
1879.861218,953,2481.743374
1637.289146,839,2486.833685
2822.056314,1166,2518.677773
2733.477478,1048,2528.150527
3029.514622,1228,2560.159735
3037.745117,1135,2591.249231
2712.592025,952,2596.808133
2780.628977,1044,2628.514938
1877.804865,928,2633.812395
1870.798851,939,2643.548016
1803.423554,852,2670.460386
2743.90013,1015,2679.748334
1420.433279,807,2706.339106
1823.4605,930,2711.601229
1838.765647,960,2743.548301
2747.116019,1071,2752.885034
3026.075729,1137,2785.227004
3313.601859,1244,2795.136447
2961.005805,1374,2827.195486
1430.652403,775,2832.160473
1979.716233,1180,2864.012716
3129.53025,1363,2896.067243
1874.599352,888,2901.291056
3006.063461,1055,2933.585566
1885.535007,990,2943.234119
1444.185563,883,2970.528566
1870.353785,864,2979.918885
1983.703068,1133,2985.707921
2784.441361,1075,3018.177795
2774.030987,1090,3050.547246
3031.280847,1161,3060.565415
2785.291493,1126,3088.961751
1875.558956,997,3098.773949
1462.066961,826,3126.635714
2984.670198,1145,3136.374912
1624.796089,698,3141.417718
1842.24104,800,3172.997343
3205.892239,1072,3178.545175
1851.071389,936,3210.193029
3041.172232,1216,3220.139521
3073.923509,1316,3252.399179
2836.03453,1172,3284.019352
3005.308665,1160,3293.973894
2537.598487,1025,3320.884063
1904.752761,946,3330.029021
3033.142286,1190,3361.331542
2999.69086,1064,3366.465272
2489.817374,947,3396.629997
2775.80775,1115,3405.690051
2769.200109,1075,3433.095313
2850.612547,1195,3442.138172
2810.042102,1188,3473.018902
1837.588445,907,3482.432843
