#{"t_start": 1768475795.8070843, "env_id": "None"}
r,l,t
-189.882288,1183,5.673038
-369.299678,949,35.749384
-376.013084,972,40.672289
-136.187737,1526,74.688945
-387.439986,922,80.277295
-376.386764,773,109.280085
-369.950846,951,114.802087
-173.343901,1455,145.487006
-366.929088,651,154.191682
-368.765772,744,159.438307
-373.269751,821,186.149261
-374.30039,811,191.368418
-189.150917,1294,222.142696
-347.620663,820,230.3537
-354.174454,938,259.109828
-370.896237,755,264.269056
-362.96061,965,296.602278
-368.939282,783,302.961212
-352.053573,909,314.730611
-369.357172,986,342.949579
-356.650905,869,355.48481
-286.300623,794,382.365385
454.662097,1939,423.054591
232.399689,977,436.456772
-306.754387,1059,464.268767
-346.192189,986,473.820129
1293.017592,1241,504.332967
636.771187,1783,544.684675
603.485167,1207,558.003619
1665.666862,1896,600.922024
574.91277,1102,630.00832
474.15847,804,646.189827
1542.995704,1386,681.737002
1365.447338,1365,698.753875
1752.608403,1456,735.072864
1564.708843,1344,774.782068
1508.232233,1060,782.400886
1915.692497,1097,813.984527
1447.055493,944,825.879333
1455.8251,1066,852.607233
1844.253345,1321,863.411844
1687.693305,935,894.403497
1453.990417,914,899.773088
1688.723691,1005,929.394287
1923.723597,1276,939.822809
2600.771405,1189,969.201584
1728.071924,1018,994.819871
1444.624129,814,1003.449698
1430.933874,919,1008.560135
1819.988901,1060,1037.724691
1636.871307,966,1042.780566
1675.337798,932,1072.405007
1494.016114,887,1077.359531
1649.686063,908,1106.201116
3189.554332,1722,1140.740315
2833.9889,1284,1149.97213
1468.639953,920,1175.40501
2817.581653,1247,1184.594015
1526.082566,932,1213.851847
2880.434905,1306,1223.353161
1740.496632,1078,1249.069196
2843.678108,1356,1262.365524
1723.421921,956,1288.268075
1911.740513,996,1297.352442
1981.555232,1197,1327.793885
1639.046706,874,1332.610173
3100.429844,1325,1362.592222
1915.119564,1086,1392.397102
2796.940949,1219,1401.89927
2903.53821,1350,1431.258149
1654.967688,791,1436.434187
2805.270269,1111,1465.902192
1894.473567,1018,1474.942106
2823.564271,1269,1504.86906
2804.358427,1139,1514.274609
2906.028055,1338,1543.620915
1817.318611,831,1569.639352
2619.037601,1184,1578.76947
1719.898302,1001,1608.638179
2793.511911,1147,1613.646659
1646.167685,865,1645.278362
1841.855256,917,1649.951672
1825.448883,853,1658.535595
1855.692112,946,1685.96011
1886.095113,1017,1695.594849
1896.993327,1050,1723.723052
1687.995449,934,1732.616245
2826.163042,1255,1764.211414
1837.960199,920,1769.335534
2507.044436,1006,1800.193783
1889.369154,1055,1809.119015
1510.65221,853,1836.093659
2868.024111,1269,1844.684494
2787.840247,1119,1875.783954
2849.421704,1241,1906.715379
2890.408886,1320,1915.350775
1628.331082,781,1942.368278
1885.390608,1008,1951.215828
2994.522865,1274,1981.96769
2777.804288,1119,1991.078196
1392.586157,760,2018.09456
1634.551686,804,2023.35082
1618.042644,820,2028.205799
2552.153741,1026,2061.398596
2998.558637,1097,2093.486909
2737.71126,1051,2102.938619
2746.573723,954,2131.064305
2746.962538,982,2140.023807
1876.145278,943,2145.189924
1450.210579,843,2173.485946
2826.186738,1156,2182.804017
1810.29917,783,2214.095918
1807.736928,839,2218.845587
2498.975522,958,2247.227682
2820.999461,1203,2256.324606
1797.367366,801,2287.036853
1848.694011,899,2292.124006
1652.661599,842,2319.978335
1643.285359,894,2329.626785
2582.808454,1087,2338.909955
2739.589232,1063,2367.381603
1876.826795,996,2376.858826
3057.650692,1154,2408.050858
2764.146071,1038,2435.811557
1852.20409,889,2445.031909
2633.768152,1149,2476.892329
3010.586376,1058,2482.229897
2973.695863,1095,2513.765837
1847.92129,854,2519.082365
1865.357634,936,2528.379354
2819.764071,1129,2560.236103
2861.471475,1226,2591.46806
1835.715354,881,2596.911102
2991.366595,1150,2628.738886
2988.595742,1145,2638.755842
2730.348074,1007,2666.035062
2989.280577,1123,2675.361011
2823.853448,1161,2706.441158
1870.962044,961,2715.742414
2762.245941,1065,2743.799936
2525.468174,1014,2753.068152
2828.48522,1199,2785.513416
1813.519594,886,2791.0567
2518.469095,1083,2822.64624
1695.971941,905,2827.894622
3036.174676,1103,2859.514339
3021.608993,1187,2869.095795
1830.370304,856,2900.368585
1887.904376,951,2905.910891
2988.972146,1101,2938.391577
1890.849386,967,2943.820422
1873.985348,901,2975.110084
1626.849521,864,2980.548558
1641.781052,917,3012.803486
2746.557129,997,3018.326384
1899.683564,944,3050.490533
3004.683334,1097,3056.368486
2517.163184,997,3088.648751
1877.619364,956,3098.429131
1822.473837,928,3103.419959
1632.634604,810,3131.317748
1910.393828,976,3141.11786
2995.549953,1108,3173.096681
1873.622829,953,3178.482042
1729.386949,1037,3210.270146
1688.26545,903,3215.697539
1649.420381,784,3247.361543
2482.738026,876,3252.511617
1643.001848,862,3280.083476
1837.448155,898,3289.315539
2764.541833,1143,3320.448142
1901.481571,973,3325.376876
1493.363535,800,3333.750933
1849.017927,807,3361.43068
2773.043278,1077,3370.395765
2537.20971,1073,3396.965695
1834.364735,883,3405.666986
1863.810752,896,3432.785993
3087.297728,1286,3442.020296
1835.927827,770,3468.655671
1832.64976,804,3477.83557
