#{"t_start": 1768475795.8050094, "env_id": "None"}
r,l,t
-367.137931,793,5.143977
-368.702714,955,9.729108
-340.713671,806,39.9552
-373.150408,829,44.623916
-345.762604,796,69.818206
-332.758909,826,79.443907
-309.186097,974,84.702703
-340.833837,965,114.360818
-183.170169,1219,124.180137
-379.170511,776,149.737789
-361.428588,783,154.754626
-333.260341,807,180.899229
-379.719976,870,190.847398
371.604592,1856,225.877043
-393.74038,1079,231.057004
-350.151762,964,263.92402
-112.573589,1154,296.501024
-324.702354,970,303.139539
-373.870177,687,309.212893
-310.947743,1076,342.915642
-359.758604,932,355.554731
-105.591346,1200,388.920803
-193.072657,877,397.510089
328.027881,983,430.962501
-363.291394,839,436.796395
344.799221,1196,469.369603
-300.547838,882,474.128548
486.243614,800,504.060187
483.782343,802,512.402554
1252.848722,1021,540.139002
650.471516,1489,558.24479
1758.708796,1762,600.936262
1604.714761,1480,638.80901
696.054959,989,654.509342
1697.418037,1137,682.215084
1484.627182,1172,698.952721
1686.527582,1008,734.58502
1321.55429,1018,747.096157
1475.325042,1107,775.358437
1555.067114,1272,808.999395
654.047725,698,814.403723
1552.745723,1076,826.51165
1687.604136,1058,857.634841
1743.929541,1151,888.958256
1461.631335,1000,894.762214
1518.935467,1120,924.539794
1532.970413,1066,934.516036
1567.317894,1130,964.46859
2602.811302,1229,973.688096
1678.739462,1011,999.207987
1653.673256,917,1008.018384
1449.476953,914,1033.424404
2929.965866,1461,1042.754667
1600.291203,967,1072.426214
1637.267679,954,1081.043388
1686.58655,863,1106.262573
1823.095557,827,1111.229132
1615.284944,921,1140.819237
1425.439717,967,1145.741819
1923.092166,1028,1175.235095
1857.150735,1015,1184.019163
2833.206853,1272,1213.801173
1879.38188,1078,1219.287249
1731.957449,994,1248.562482
1605.55205,819,1253.598248
1624.010273,926,1283.26981
1491.668826,981,1288.369299
1852.269468,929,1297.353029
2630.501023,1353,1327.979995
2789.741753,1106,1357.450262
3034.091234,1197,1366.653633
2499.716459,992,1392.635747
1834.067822,993,1401.811035
2760.4426,1130,1430.838
2905.841411,1363,1440.995352
2789.841692,1137,1470.112429
2787.776542,1138,1496.102247
2811.09207,1180,1505.377835
1453.354034,891,1534.382414
1863.085052,996,1539.451205
2775.44379,1204,1569.852381
2838.554923,1270,1579.083382
2814.482023,1162,1609.214467
1651.200568,818,1613.700289
2849.078517,1221,1645.76934
2817.064667,1225,1654.798958
1672.88586,931,1685.692445
2756.567928,1050,1695.416011
1832.360042,858,1723.218086
1670.203028,954,1728.867959
2646.689834,1254,1759.800001
1634.511536,829,1768.729815
2734.575903,1019,1796.397263
1623.700938,838,1804.913229
2834.220797,1271,1835.837396
1877.727685,895,1840.772966
1640.525496,819,1867.216255
1829.388509,857,1875.802336
1660.785077,939,1902.540076
1649.592126,912,1910.792158
2773.131574,1011,1915.848707
1836.975483,936,1946.665512
2795.450219,1117,1955.284302
1443.180073,744,1982.026224
2837.451328,1273,1991.362881
2995.685401,1147,2023.008842
1830.748072,878,2027.991976
1871.045486,895,2060.942854
1634.500025,832,2066.230112
1822.341855,868,2093.968984
2593.321437,1082,2103.377856
1872.832721,1015,2135.42196
2767.189922,1081,2140.731535
1795.217236,847,2172.755223
2490.037715,884,2177.952071
2802.866585,1164,2209.807158
2989.238675,1087,2218.747284
2824.586628,1199,2251.091312
2798.138404,1118,2260.124982
2963.119888,1023,2287.522228
1848.816034,917,2296.539286
3066.224827,1335,2329.508319
1797.40869,764,2334.460319
1833.159317,836,2362.421955
1805.027011,855,2371.534767
1885.125139,999,2398.875105
1676.31191,883,2407.986054
2792.955058,1209,2439.812739
2763.570784,1052,2445.443351
2852.459245,1258,2477.401952
1615.530552,821,2486.275753
2753.401527,1031,2513.911851
2758.0606,1045,2523.550091
2576.3439,1115,2555.330263
1878.652357,1006,2560.788218
2779.071141,1040,2591.71312
3289.768707,1413,2601.917893
1804.776509,788,2633.151727
1804.985842,812,2638.748631
2486.103837,928,2665.934422
1689.285951,943,2674.99673
2534.899512,1019,2702.100202
2850.177166,1055,2711.28409
2788.774294,1143,2743.504587
1830.749879,957,2748.719417
2763.750826,1131,2780.954861
1677.288969,936,2790.661551
2536.699606,1170,2822.316001
1877.17217,916,2827.585039
2837.880429,1213,2859.363102
2762.745796,1007,2868.739604
2740.034139,945,2896.201427
3392.511318,1445,2910.138145
3069.960691,1283,2943.074792
2794.013087,1128,2970.757424
2800.621483,1095,2980.504793
1829.462855,880,3012.70575
3017.731561,1245,3022.656238
2798.624256,1092,3050.952643
1631.823267,793,3060.443641
3066.820825,1247,3093.194054
3042.697914,1198,3099.09145
1662.229992,842,3130.827213
1627.779983,859,3136.339368
1804.917757,884,3168.003276
1802.577036,865,3173.299438
3265.161891,1216,3205.147416
3004.195768,1254,3215.260184
3004.793287,1125,3247.464361
2570.856291,1097,3252.94103
1821.872136,842,3284.094334
1894.769681,957,3289.824767
1651.426984,841,3320.482717
2797.464648,1122,3329.772145
3036.692524,1197,3357.260817
2847.605363,1174,3366.391926
3074.297245,1195,3396.939657
1881.068107,937,3405.727258
2987.575034,1115,3433.197859
2972.907046,1039,3442.032592
1855.69808,891,3472.415273
1724.062728,982,3478.349989
