#{"t_start": 1768475795.806455, "env_id": "None"}
r,l,t
-376.742842,685,4.996076
-362.546395,871,9.414957
-379.936563,783,36.057387
-378.480446,1000,44.559656
-330.311755,693,49.08613
-369.035703,932,75.179106
-369.733448,733,84.276832
-347.791905,769,109.496616
-365.856623,830,114.829629
-378.518412,890,124.216287
-354.210577,820,149.821493
-382.303303,798,154.880502
-376.975241,883,185.761724
-378.102501,818,190.98964
-381.482878,899,216.864335
-206.26811,1362,230.205458
-376.641926,777,258.639546
-360.972551,1082,264.349309
-363.664532,803,296.462688
-360.702744,830,302.86509
-351.994981,767,309.094387
-374.983143,756,342.297582
-333.278699,765,349.091671
-376.440172,715,355.767989
-322.070054,915,382.748679
-179.334421,831,397.288297
-317.808458,848,423.104495
-371.09365,933,436.458935
544.737905,1171,464.392733
612.471314,1465,478.160787
743.380369,1844,519.804672
486.99078,740,544.854283
545.144241,1088,558.059068
512.715291,1277,592.945302
1555.352324,1219,608.672191
1528.693604,1120,639.138127
1691.208478,1574,681.789265
1354.436028,1231,698.603711
1626.240606,1581,735.109788
1737.119901,1196,768.282118
1505.218425,992,782.112587
1701.667402,992,813.560949
2681.243422,1460,826.225139
1451.414983,951,852.769253
1414.93919,916,863.027546
1449.857147,936,889.567397
1649.308963,1059,899.552026
1810.929637,1352,929.67713
1872.820964,1050,939.786655
1722.486042,1069,968.999263
1701.091895,1112,974.440891
1677.788577,1035,1003.682771
1616.050413,865,1008.717246
2820.95818,1300,1041.868519
1484.46985,904,1046.913019
1682.370226,972,1076.497332
1399.831465,841,1081.295494
1470.175813,974,1106.678748
1711.693248,957,1115.615298
1645.509799,872,1141.306084
1415.417156,822,1149.961972
1462.4167,918,1175.395066
1903.704899,1086,1184.312178
1669.13603,969,1209.657696
2842.823516,1280,1219.425006
1748.893112,1123,1248.902044
1943.023855,1133,1258.139629
2838.892978,1231,1288.171293
1694.334944,958,1297.227634
1897.59686,1060,1323.719163
2833.405403,1277,1353.312802
1459.043438,836,1362.17823
1887.345343,1024,1367.253867
1478.199343,879,1397.038845
1587.991996,849,1402.093192
1643.931567,915,1430.791532
1699.753422,938,1436.181963
1453.950641,876,1461.763436
2763.089532,1057,1470.562207
1861.450558,943,1500.158778
1660.479103,806,1505.040344
1640.562229,909,1510.305635
1890.689645,896,1538.998142
1892.316209,940,1544.100933
3008.35578,1239,1574.509044
1864.359925,964,1583.437603
2780.604556,1113,1612.984806
1875.035881,815,1618.007711
1673.613436,960,1645.829715
2501.640379,960,1654.5116
2799.354582,1236,1685.831858
1915.396091,974,1695.42993
2828.671771,1206,1723.791412
3270.727812,1345,1758.958455
1832.601674,879,1764.331168
1887.624021,992,1795.765342
1678.565572,899,1800.262941
1806.719467,805,1805.499575
1862.683698,907,1835.865664
3042.452611,1152,1844.287912
1667.931297,891,1870.95653
1457.132508,791,1876.227088
2809.900048,1145,1907.030516
1649.738022,845,1911.298724
2725.756939,1025,1942.309786
1920.045111,1062,1951.240134
2757.03388,1059,1981.6811
1813.240588,871,1986.45605
3000.214734,1164,2018.03738
1805.405976,838,2023.342521
2971.26568,1109,2056.106318
1845.724359,926,2061.68932
1885.664052,1022,2093.653902
1728.087568,973,2102.978659
2801.757644,1177,2131.389997
1621.491566,804,2140.130833
1665.515669,889,2145.221368
3059.830885,1257,2177.930449
1710.975105,923,2209.408076
1837.065292,951,2214.593138
1853.210014,810,2219.291616
2766.653385,1064,2251.515857
2515.504489,948,2260.275547
1657.835795,838,2287.412504
2794.92086,1149,2296.742392
1632.473926,796,2324.719634
1827.022229,835,2330.198494
2736.327065,1039,2362.251842
1442.787783,881,2371.416023
3050.579297,1286,2403.273831
1854.346936,954,2408.423365
1903.42471,969,2439.872087
1628.518064,799,2445.173828
3002.077477,1126,2476.964466
1890.82455,922,2482.099139
2693.870627,887,2491.05978
3073.776045,1339,2523.433522
1677.132211,929,2550.939982
2989.911634,1092,2560.488982
3289.391579,1224,2591.696215
2770.439673,1099,2601.490833
2792.803543,1110,2633.148586
1872.958705,923,2638.913869
2554.250239,1101,2670.144187
3042.268859,1250,2679.800362
1754.867081,975,2706.6467
2848.547453,1261,2716.320279
1915.736009,1104,2748.35315
1946.535399,1046,2780.412707
1863.834274,894,2785.829717
1876.904825,904,2795.25136
1670.687528,902,2822.705555
2485.622218,934,2831.796631
3031.351645,1176,2859.735332
2852.132747,1284,2873.620146
1825.910374,768,2900.600405
1864.262196,946,2906.100917
2896.55358,1323,2938.861905
3059.948418,1299,2970.848744
1862.170418,1023,2980.481212
3004.618688,1236,3013.242849
1599.078769,837,3018.537755
1880.943274,972,3050.67471
2786.815075,1121,3060.660101
2777.255208,1070,3088.974292
2508.275167,1014,3098.804492
2514.555831,985,3130.725584
2863.221533,1182,3140.780661
1672.065015,887,3168.389907
2783.627691,1149,3178.075713
3010.528791,1139,3210.056263
1804.691622,803,3215.267871
3087.027339,1291,3247.727455
3011.73157,1174,3257.355914
3043.854559,1212,3289.292743
2508.942644,967,3294.599319
3313.148224,1313,3325.666009
3029.820766,1163,3357.169375
2828.445268,1214,3366.367519
1892.450222,917,3396.486332
3034.379498,1246,3405.750645
3030.946886,1265,3437.264823
1630.259521,819,3441.967996
3035.329337,1153,3472.734686
1856.912068,945,3478.638529
