#{"t_start": 1768475795.8021371, "env_id": "None"}
r,l,t
-372.492921,947,5.364838
-303.630047,890,9.87125
-378.860958,812,40.079
-194.913616,1302,48.965047
-330.509416,826,74.911088
-374.609779,841,80.378843
-368.038283,759,109.363003
-207.556216,1197,119.140706
308.834616,1263,149.611259
-315.71571,908,154.794771
-310.725567,854,180.994519
-368.184972,864,190.932664
-377.451152,875,216.767559
-175.166969,1109,226.171284
-388.599418,834,230.975695
-377.05472,879,263.747965
-374.878756,1004,270.032012
-344.259816,671,297.055371
-365.437494,830,308.628753
-378.062028,971,335.406727
-369.956902,1009,349.209898
-377.794264,731,355.951544
-336.246775,749,382.679754
-132.301503,1186,397.652235
481.047423,1134,431.386106
-177.946184,1099,443.881769
598.965979,873,469.684089
572.140371,1181,478.42875
504.646149,881,504.946698
641.948751,1506,544.833414
1329.675997,1298,558.366779
1624.697823,1492,593.56782
1324.449647,1291,630.02043
1520.929353,1242,646.858327
1545.351925,1390,689.651637
1586.036395,1243,727.039238
1595.35314,1332,741.040923
1585.485934,1175,774.827485
1672.194194,1007,782.37763
1517.989718,1037,813.87728
1622.807456,1024,825.882486
1330.279039,1070,852.616511
1558.589215,1445,868.111178
1742.418436,1195,894.886352
1426.68142,847,904.274349
1409.383913,824,929.597374
1277.477248,995,939.64798
1727.031172,1092,965.276134
1747.726791,1077,974.271291
1466.894595,904,1003.327663
1482.070896,985,1008.530994
1861.384708,1047,1037.686026
1863.510033,996,1042.773535
1704.377022,1029,1072.52047
2901.669929,1393,1102.081258
2810.560158,1320,1111.402144
2853.362832,1332,1145.130663
1672.468715,991,1150.375914
1948.42833,1141,1179.834905
1809.218951,812,1184.76423
2842.927411,1320,1214.582429
2649.967966,1262,1244.284541
2819.346354,1359,1257.779163
1629.045004,827,1283.477119
1471.447352,902,1288.514619
1870.967393,908,1297.436569
2776.602586,1129,1327.793491
2829.651069,1211,1357.384212
2777.731211,1188,1362.834033
1891.901087,948,1392.484766
2780.642256,1127,1401.851532
2602.889137,1234,1431.044644
2786.287262,1068,1436.631999
2835.973829,1292,1470.104829
2992.197219,1129,1496.081762
1650.867728,762,1504.747913
1913.923171,1058,1510.228827
1660.139768,859,1538.871242
1851.432158,978,1544.032294
2772.917597,1176,1574.361676
1797.25425,882,1583.144595
1632.171205,852,1608.98758
1669.163369,839,1613.526529
1672.055099,922,1645.251561
1662.464864,912,1649.9038
3093.219397,1421,1680.950252
1915.229705,1036,1690.799416
1622.363776,832,1718.677651
2732.996835,992,1728.494946
2776.238581,1070,1759.071553
1814.551569,874,1764.427159
1645.80211,861,1769.461119
1837.917419,870,1800.117647
1815.881729,922,1805.530425
1861.615279,988,1836.021748
1914.294271,1039,1844.272435
1661.244318,933,1871.004674
1884.363781,979,1879.681398
1816.788439,875,1906.934504
1608.573823,807,1911.188868
2524.130514,1011,1942.136696
2782.779341,1141,1951.211259
2826.152169,1229,1981.91094
2509.863081,997,1986.871086
1622.25675,764,2017.830449
2826.064185,1249,2027.476792
3110.132409,1233,2060.870869
1647.146447,879,2066.231012
1886.55463,966,2094.113969
1856.402518,896,2103.27148
2798.225036,1137,2135.476215
1641.298951,884,2140.520838
2805.873235,1178,2173.063653
2821.273917,1165,2182.409063
2824.459609,1176,2214.282787
2804.003761,1168,2223.320014
2816.769824,1227,2255.605208
3099.912841,1282,2287.055254
2515.351984,1001,2292.287662
2809.135395,1203,2324.786371
1500.646072,840,2334.123013
1825.526011,827,2361.998444
3063.806856,1226,2371.737402
3061.998938,1324,2403.621026
1436.496685,807,2408.535187
2770.615777,1125,2440.227285
1806.707093,862,2445.539438
2767.36086,1057,2477.245749
1815.994996,888,2486.184831
3045.130851,1269,2518.128773
3137.00565,1362,2528.143466
1856.743835,849,2555.676791
1875.129224,902,2564.826973
1805.598111,790,2591.52447
2774.082409,1091,2601.329337
2778.243248,1152,2629.074465
2985.517744,1135,2639.128979
3032.262948,1159,2670.452115
2806.512443,1100,2679.855293
2764.233336,1095,2710.741469
2595.979443,1090,2716.307949
2868.187465,1310,2748.645045
1615.686578,778,2757.842546
1848.056618,971,2785.837328
1664.232379,924,2795.285922
2486.0909,863,2822.688401
1695.002974,878,2827.897935
3154.53628,1347,2863.828514
2795.07665,1150,2869.385175
3072.946092,1260,2901.31978
2794.578825,1158,2933.776588
2470.870955,869,2943.233332
1846.335069,852,2970.481475
3040.636565,1187,2980.385543
2805.47664,1097,3012.926774
1895.767195,933,3018.34492
1835.170037,873,3027.637961
1672.638764,882,3055.947359
2957.556792,1147,3065.943525
1661.938259,933,3094.016089
1913.916723,957,3103.236307
1878.751186,928,3131.317573
1871.167316,961,3141.096593
1661.029424,854,3168.696572
2752.61893,1004,3178.148006
1688.324693,936,3205.659532
2995.392671,1167,3215.615777
3066.347606,1220,3247.951336
1902.115391,918,3257.173331
1870.811092,957,3284.486862
1641.70472,904,3294.054726
2519.994134,1053,3320.960944
2796.809763,1084,3330.289578
2771.48218,1083,3361.45883
2774.860228,1058,3370.39713
3080.041418,1283,3400.88875
3340.423566,1392,3432.491996
2733.720985,1031,3437.925899
2826.196155,1238,3468.717004
1865.03968,973,3478.170255
