#{"t_start": 1768475795.8029876, "env_id": "None"}
r,l,t
-189.589684,1189,5.684714
-380.866525,888,35.667236
-352.470049,855,40.458045
-367.964109,868,48.723191
-327.402945,837,74.70454
-374.157226,861,80.199924
-367.205727,810,109.259024
-369.720034,845,114.652044
-201.85004,1336,145.117701
-358.844194,792,150.18595
-370.015644,782,159.347974
-359.048058,904,186.181962
-387.863161,851,191.456102
-183.936991,1302,222.249693
-225.230066,1381,258.5762
-364.129371,727,263.828859
254.722178,934,270.02831
-155.030429,1635,308.796365
-303.69,985,342.302442
333.67743,1040,349.412771
-369.674074,1096,382.420206
-356.122445,826,389.570586
-370.775856,840,422.775405
-342.626643,1028,431.645623
-317.632796,894,443.835438
325.954949,1003,469.820462
502.312535,1470,504.187702
447.451251,1181,519.64362
1309.183364,1150,545.273966
1333.745782,1033,558.457645
1393.204374,1268,593.322753
721.585492,1016,608.720081
1500.523154,1234,646.186688
1747.506693,1362,681.696698
1663.487536,1015,690.361604
1753.710752,1373,734.364101
1725.624096,1186,747.14197
1777.007988,1340,781.886181
2834.219596,1250,813.718843
1496.44097,1057,821.343808
1516.015716,925,852.299079
1497.078625,1001,858.20575
2615.332065,1350,894.266302
1454.375384,1014,899.751758
1498.126811,925,929.251652
1677.846107,1090,935.138898
1294.20146,975,964.876967
1447.925359,970,973.709517
1647.252906,997,999.211391
1656.173403,1015,1008.165164
1838.436779,999,1033.697539
1467.182937,898,1042.206973
1672.232937,989,1067.94459
1677.684168,1038,1077.071909
1679.137677,920,1105.940562
1883.647793,1014,1111.194036
1639.087901,939,1140.807327
1889.325243,1027,1145.819896
1463.224342,897,1154.508203
1631.712746,896,1180.003527
2800.298868,1302,1209.555987
2809.00447,1179,1219.190966
1493.389084,959,1248.41951
1899.297973,1023,1253.744906
1690.889898,928,1283.396692
1410.161517,785,1288.231178
1700.593962,930,1297.240102
1858.637863,919,1323.526067
1643.220557,975,1332.214502
2596.125571,1198,1362.081775
3132.508072,1376,1392.232365
1638.799678,794,1397.278517
1488.236938,844,1402.38415
1471.202655,955,1431.131292
1686.083335,921,1436.506277
1893.186879,982,1465.803748
1705.18729,996,1474.783707
3290.131793,1325,1504.795321
2772.878605,1138,1510.397299
1614.288159,800,1538.948417
1830.865653,923,1544.03523
2751.796765,1071,1574.237399
1627.217805,866,1579.142895
3088.684226,1263,1609.437624
2576.690322,1081,1618.155853
1457.973975,868,1645.839952
2529.226013,1112,1654.723008
3037.260379,1276,1686.236876
1657.881201,925,1695.654402
3118.901482,1272,1728.285487
2758.876035,1109,1758.925355
1805.127353,824,1764.217037
1641.432392,875,1769.277164
1828.328789,875,1799.927557
2833.856168,1186,1809.069404
1919.527566,1123,1836.449683
1852.330058,851,1844.40873
2751.423759,1110,1875.476411
1837.834677,940,1879.952707
2884.525952,1328,1911.046081
3082.869032,1310,1942.430982
2751.778761,1088,1951.362045
1667.150492,948,1981.664391
1498.700296,910,1986.494243
3001.508189,1211,2018.145257
2828.772199,1152,2027.608279
2567.208834,1148,2060.897453
1646.619403,830,2066.175331
1585.830991,733,2093.722206
1643.424331,863,2099.035376
1671.909361,942,2108.570249
1836.968157,832,2136.004515
1425.414196,741,2140.77521
1877.271537,981,2173.064606
2792.542785,1123,2182.343301
2493.428536,983,2210.154462
2771.188822,1076,2219.028531
1828.843851,864,2250.919732
1640.112238,820,2255.796666
1476.280424,801,2282.915516
2582.837151,1112,2291.957431
1921.383073,1060,2324.246966
1628.860612,831,2329.671753
1794.285304,811,2334.664636
1626.135981,851,2366.785931
1837.600577,892,2371.915013
1627.28527,799,2398.890421
1684.484595,897,2408.022307
1663.751852,870,2413.142296
1715.388542,950,2444.870348
2787.805258,1158,2450.370594
2828.443917,1242,2482.331854
1665.021424,897,2513.570807
2771.627252,1232,2523.498302
2757.022087,1062,2555.171773
1920.831008,1036,2560.691266
1866.399181,924,2591.437948
2791.356556,1047,2597.124624
2830.246178,1175,2628.970726
3094.955588,1293,2639.263551
2700.722855,1000,2670.325449
2757.587069,1061,2679.688925
1854.923645,908,2706.432353
3063.240524,1164,2716.003955
1672.193541,944,2743.894408
2796.757852,1147,2753.335664
1823.354497,859,2785.339213
1846.594088,1002,2791.039038
2793.707455,1132,2822.695404
1838.522603,827,2827.829061
1822.338948,854,2859.06708
2867.674845,1269,2868.828599
2498.471493,902,2896.236829
2898.52345,1332,2906.188977
3027.008702,1109,2938.68463
3014.200748,1179,2948.640401
2759.307786,1106,2980.184788
1834.439885,861,2985.557112
2814.079098,1144,3018.133483
2508.518648,961,3027.550709
3018.325883,1222,3060.413759
2759.518052,1089,3088.775177
2775.205085,1077,3098.706095
2996.540949,1175,3130.873888
2974.361992,1081,3140.794153
2891.365975,1219,3172.929087
2811.156961,1173,3178.629698
1439.497635,752,3210.034372
2796.134981,1069,3215.667271
3037.055251,1251,3248.09226
3056.267601,1193,3257.736287
2757.169357,1066,3289.430741
1842.253057,863,3294.569678
2787.773418,1082,3325.203706
1839.38351,807,3330.4895
1850.032479,947,3361.485912
2790.344001,1139,3370.551255
3257.316139,1328,3401.0995
2969.62842,1086,3432.256486
2754.862492,1086,3437.761554
3104.411825,1293,3468.640155
2868.59494,1192,3478.458096
