#{"t_start": 1768475795.80439, "env_id": "None"}
r,l,t
-368.650788,1026,5.485439
-372.909841,901,13.76534
-373.270576,840,40.239333
-373.377466,891,45.054898
-375.749814,886,74.567564
-307.958618,770,79.917051
-298.333962,733,84.802531
-372.707915,851,114.286038
-372.397547,810,119.334254
-367.073767,885,145.287091
-149.922675,1237,154.920781
-273.435264,934,185.871147
-328.450066,647,190.863579
-368.046006,893,216.709507
-209.896439,1405,226.585453
-367.156611,908,258.762104
-355.044164,938,264.259812
304.668763,1293,297.072162
-365.328653,829,308.642884
-369.651615,655,314.896013
-318.895116,904,342.995159
-159.804714,1245,376.014126
-291.494415,1220,389.502395
-339.502723,950,422.859836
767.149809,1463,436.94646
-161.15766,1284,469.655122
1761.684072,1569,504.167835
678.08629,1980,544.79287
1403.529131,1550,558.699283
1578.172867,1568,601.073149
1808.148935,1363,638.785131
1676.209539,1619,681.388896
1593.579459,1525,698.694465
1765.674472,1268,734.722956
1607.789413,1272,768.017441
1712.964146,1097,781.99373
1518.805979,1091,813.595142
1747.849043,1105,821.288863
1544.432449,1006,852.358937
1621.047902,1255,863.108129
1585.842275,1139,894.365713
1700.10025,1132,904.055715
1739.229805,1134,929.835784
1650.146059,867,939.707427
1425.513002,827,964.938573
1516.440848,1149,974.034
1635.665857,1080,1003.365529
1527.587922,1074,1008.699831
1863.140505,1001,1037.767766
1656.673927,1019,1046.620353
1729.256752,958,1072.54888
1469.698991,846,1081.032675
1637.849085,794,1106.136478
1655.508339,904,1111.226498
1691.472272,876,1140.764416
1657.635221,893,1145.549482
2931.426658,1421,1175.573237
1884.825054,994,1184.379404
1918.844524,977,1213.730292
1941.595145,1074,1219.222847
3389.670951,1561,1253.143243
1965.537745,1107,1258.458388
1816.781949,911,1288.077674
1822.655947,954,1293.359155
2884.433239,1294,1327.703585
1867.804889,998,1332.694047
1657.429907,846,1358.223041
2827.769097,1154,1367.295847
3301.940209,1337,1397.648442
1821.537395,807,1426.252403
1671.95708,916,1431.456647
1856.820541,999,1441.063427
1817.158631,906,1466.077972
2860.414557,1354,1496.158388
2818.171878,1252,1505.544079
1615.081375,760,1534.35562
1646.501862,978,1539.389624
1531.412003,961,1548.584388
1833.31102,892,1574.440034
2760.565927,1090,1583.545575
1667.927867,930,1609.522457
3054.743891,1252,1641.558199
1642.553544,954,1649.705357
1648.693343,824,1654.752376
1832.093786,846,1685.498674
1909.868631,1011,1690.967982
1819.532093,870,1722.986981
1892.933704,996,1728.728559
2721.515846,1006,1759.214414
2816.454956,1180,1768.724944
1626.712892,828,1796.103561
1653.822786,830,1800.603255
3028.062441,1204,1831.866524
1661.712986,937,1840.497263
2553.594702,1174,1870.620244
1766.305016,1078,1876.326921
3033.325776,1143,1907.132093
1836.426801,829,1915.000356
2833.885033,1238,1946.245083
2788.206434,1074,1951.580072
1896.480599,987,1981.976805
2746.099299,998,1986.957419
2842.824565,1239,2018.651274
1861.555437,944,2027.771981
2772.010152,1064,2060.962682
1630.526408,877,2066.322436
1856.35701,956,2098.169286
1681.411979,934,2103.374505
1666.622146,870,2131.395861
2786.938207,1116,2140.58417
2793.941136,1173,2173.134438
1658.235269,881,2182.043141
2816.202374,1133,2210.081856
3058.289789,1222,2219.155068
2734.506163,1035,2251.320278
2777.234554,1116,2260.326611
1885.262056,1026,2287.761863
2636.461339,1336,2324.180857
1596.002476,770,2329.515629
1924.743246,997,2334.763977
2509.466037,1025,2367.112872
1643.732057,952,2376.450569
2773.471108,1112,2403.980042
1615.686343,769,2412.663219
3063.579991,1300,2444.838918
2797.877424,1250,2476.827701
1865.369302,916,2481.931897
2766.23877,1091,2513.473308
1828.900402,886,2518.828043
1465.998221,797,2527.899071
3042.620841,1238,2556.024789
3051.707011,1218,2587.392433
3016.464659,1157,2597.029745
3024.481333,1226,2628.950611
3025.368959,1227,2639.123114
3058.057169,1211,2670.531568
3099.366927,1320,2701.916684
3089.561533,1231,2711.369582
2769.194565,1066,2743.475352
1893.617275,985,2752.705923
2764.923825,1060,2780.860311
1693.035102,922,2790.559401
2798.381642,1161,2822.180824
3089.851842,1276,2831.783711
1655.598954,826,2859.189404
2796.429444,1141,2868.762697
1613.347699,711,2895.924362
1698.650505,906,2901.138148
1877.870513,948,2933.272225
1904.468331,982,2938.873598
1682.365502,819,2948.326697
2833.638747,1212,2980.028948
1841.999333,877,2985.439804
1856.904435,957,3017.722786
3014.812837,1089,3023.409233
3321.84807,1414,3060.491181
3346.712774,1523,3093.673781
1942.871442,1075,3103.066195
1698.44992,906,3131.149917
2745.534659,1001,3140.971245
2815.944651,1275,3173.184751
2776.820811,1075,3182.740847
1890.622777,980,3210.435392
3037.056455,1186,3220.387264
1946.274758,1000,3252.195071
1643.578642,912,3257.583814
1832.724577,897,3288.932265
1619.7341,802,3294.161592
3070.68,1269,3324.989524
1812.367265,829,3330.346328
2746.126947,961,3361.35806
1879.362346,903,3366.23777
2807.73499,1211,3396.817996
2494.954257,955,3405.626506
2923.921737,1277,3437.158359
3116.427635,1297,3468.027257
3023.198204,1148,3477.742922
1426.453864,768,3482.533033
