#{"t_start": 1768475795.7950282, "env_id": "None"}
r,l,t
-372.837608,888,5.291363
-149.548075,1451,36.068139
-341.577128,771,40.691726
-18.884214,1695,74.957297
-347.749032,855,84.233418
-272.622703,870,109.608264
-373.575722,739,114.804463
-385.390092,857,124.134919
-316.431654,878,149.829612
-375.879938,808,154.902078
-385.027853,875,185.772492
-369.266615,809,190.988564
-162.595071,893,216.851286
-347.964229,877,225.901862
-328.699539,929,230.85285
-380.555472,858,263.62157
-285.334081,909,269.712661
-359.991332,954,302.324199
-180.918908,1282,314.702394
-350.199006,743,342.54495
-336.338189,782,349.311649
305.463819,842,376.15783
-47.168144,1260,389.704304
282.823621,997,423.081283
461.449862,752,431.605272
-350.674433,971,443.890054
-341.980381,957,469.818305
385.205074,1593,504.379408
345.487743,1063,519.645292
505.706191,811,544.823746
368.498161,1046,557.935609
458.405754,1187,587.078509
1570.476791,1232,601.627169
1353.731582,1381,646.121177
668.240076,1328,681.579149
1499.107989,1280,698.470143
705.572879,940,727.66978
1527.669439,961,741.118431
1413.12971,1062,774.754957
1282.367572,1008,782.295351
1524.341591,1057,813.821829
1730.724632,1154,826.025349
1521.613054,1081,852.773291
1656.154821,1258,863.472978
1625.25098,984,894.524363
1493.190596,1007,904.061972
1760.406232,1197,934.251352
2948.124567,1505,964.753323
1947.755605,1169,973.879556
1512.150975,964,999.339201
1641.268431,967,1008.223804
1424.736832,784,1033.433859
1848.939279,938,1042.005131
1261.262506,925,1067.655332
1628.713402,869,1076.500725
1252.657915,989,1081.493742
1693.409995,944,1110.71734
1602.84093,874,1115.668299
1726.452609,1062,1145.209249
1701.503141,907,1150.346788
1670.816187,957,1179.518771
1680.040673,883,1184.558069
662.602868,684,1209.455366
1724.390994,985,1218.851737
1701.122278,1013,1244.236886
1807.38421,908,1253.266129
1647.971774,1001,1258.428575
1885.207579,914,1288.04013
1663.948936,1041,1297.2273
1890.107977,1098,1323.772972
1834.99659,869,1332.308616
2793.391175,1205,1362.177922
2774.697956,1123,1367.379679
1581.481233,799,1397.060264
1853.007055,1025,1402.38986
1834.46623,864,1431.014097
1848.015428,950,1436.420266
2767.59382,1092,1465.87032
1857.76002,873,1470.84468
1484.692171,916,1500.361874
2785.997987,1124,1509.693188
2486.351665,991,1534.871407
2845.445522,1228,1544.039013
1889.718037,1002,1574.142137
2546.298074,1074,1583.178827
1625.642174,861,1609.036422
1862.333747,959,1613.726347
1855.660433,875,1645.387295
1650.274825,773,1649.847101
1850.321181,896,1658.504018
1655.864035,891,1685.823575
1911.427816,1004,1695.469423
1646.292611,792,1723.162118
1894.832156,1032,1728.929082
2503.796329,967,1759.388211
1695.13296,882,1764.728962
2790.37511,1222,1796.417321
1821.053146,978,1805.163701
1882.072469,933,1832.002417
1685.288499,921,1840.581195
2959.892206,1087,1870.597937
1879.598316,983,1876.154497
2808.898214,1137,1906.932958
1903.092384,994,1915.071589
1869.86055,998,1942.425271
2810.316661,1166,1951.45758
1891.278364,977,1981.840837
1643.619944,848,1986.563668
1913.362459,1032,2017.939979
1872.177271,991,2023.472978
2839.009078,1203,2056.36107
1407.962482,782,2061.749408
1854.56959,1083,2093.801173
1840.141106,905,2103.023082
2724.510219,1042,2131.266491
1611.395118,783,2139.946095
2794.315717,1208,2168.454033
2774.833233,1108,2178.001754
3027.80641,1270,2210.012467
3031.444274,1197,2219.071115
2823.154754,1214,2251.488575
3095.92467,1241,2282.917531
2825.112551,1211,2292.094564
1878.344319,989,2324.28686
3007.259567,1131,2330.173974
2754.69378,1021,2362.19336
1825.350683,844,2367.479258
1660.570047,906,2376.839366
3001.540738,1093,2407.93872
1793.89682,860,2413.060851
1621.216877,726,2440.344883
2740.357123,992,2449.633741
1656.608055,819,2477.206747
2739.077718,1092,2486.451862
2523.289097,952,2513.973448
2474.657596,928,2523.455193
1807.479828,873,2550.890985
2769.304373,1160,2560.536801
1797.451208,735,2565.507651
2502.243616,927,2596.510762
1862.784432,914,2601.864889
3042.205413,1189,2633.697183
2994.621391,1141,2665.623076
2750.230703,1045,2674.810724
2507.131122,926,2680.056572
1903.122702,1036,2710.884427
1703.758145,944,2716.242887
2758.324095,1031,2748.152365
3065.891325,1282,2780.584893
2982.272969,1102,2790.584062
2756.077702,1058,2818.137995
1908.444507,978,2827.418438
2546.901995,1016,2858.892661
1624.622138,907,2864.163682
1612.466789,806,2869.258434
1832.518886,883,2900.590199
1862.24042,930,2906.076174
1832.922502,826,2938.156035
2990.423235,1135,2943.850318
1870.286098,883,2975.109524
1822.830038,890,2980.585852
2551.978787,977,3012.945921
3331.931437,1372,3023.061614
2842.914313,1252,3055.864799
1863.563228,901,3061.231531
2856.357055,1266,3094.066762
1635.994863,885,3103.17085
2797.006981,1178,3135.915703
1873.438826,933,3141.33425
1876.670101,892,3173.033928
2745.15817,1041,3178.540063
1672.294548,844,3210.077268
2782.58216,1105,3215.773253
3057.145067,1216,3248.145706
2856.111328,1325,3283.79798
1494.605892,860,3289.372558
3096.949707,1311,3320.687212
3070.996849,1210,3330.152943
1842.439381,887,3357.178528
3088.362964,1298,3366.51124
3074.753022,1243,3397.129566
1654.619678,856,3405.79301
2794.731403,1120,3437.079923
1809.803455,808,3441.799505
2558.390048,1013,3468.763042
2850.52668,1199,3478.597622
