#{"t_start": 1768475795.7974887, "env_id": "None"}
r,l,t
-367.402952,793,5.151138
-370.741384,807,9.493219
-376.652953,915,39.911497
-360.982766,837,44.587008
-353.819979,823,69.819551
-360.859114,791,75.190646
-322.894925,772,84.349853
-378.943921,962,109.882198
-386.066096,769,115.070933
-384.30055,935,144.961939
-199.782368,1014,154.260087
-376.569975,750,159.510943
-227.509947,1391,191.067794
-397.478761,950,221.334269
-379.153011,857,226.050877
-204.861552,1296,258.836483
-367.498386,774,264.106233
-258.354187,975,296.448216
-362.134153,923,303.004948
-374.958705,847,314.671563
-307.445045,1011,342.934457
-385.937577,869,355.472533
325.418318,1143,382.792928
-360.964967,777,397.261861
576.22095,1532,431.505343
-365.224127,839,437.325928
-160.194455,860,469.376628
1345.219428,1212,478.169022
419.26992,1307,512.451787
761.146509,1186,544.767175
607.557726,1360,558.361904
1391.808287,1472,593.533094
1808.590345,1671,638.781807
2185.942755,1911,681.862766
1582.019018,1202,698.637104
1540.875524,1166,734.504371
1700.040146,1090,747.134047
1591.153751,1254,781.748435
1752.321956,1182,809.104129
1545.84763,1266,821.410873
1447.791444,882,852.311517
1823.695323,1282,863.102288
1485.797895,1015,894.212307
1437.522088,902,899.516913
1475.188047,958,929.063281
1697.6786,1207,935.12837
1727.016522,1118,965.077981
1868.468259,1028,973.995259
1469.511555,1010,1003.228332
1898.921048,983,1008.436088
1651.099847,1040,1037.596508
1677.902619,955,1042.603852
1830.80574,907,1072.216954
1689.232963,1070,1077.409482
1697.701838,940,1106.302481
1456.966554,848,1111.285103
1884.513186,1062,1141.063365
1664.762143,947,1149.876988
1489.736071,986,1175.388133
1691.614049,1004,1184.17802
1697.078178,1021,1209.604482
2832.40436,1270,1219.368121
1877.786848,1109,1248.819267
1651.04158,888,1257.752584
1441.612647,899,1283.540906
3108.527708,1505,1293.317697
1635.315228,825,1323.232683
2556.703513,1097,1328.461019
1887.601119,949,1357.783329
1830.184203,959,1366.627223
1487.452724,871,1392.439044
1665.62287,929,1397.617166
1875.246925,1020,1426.556951
2563.250708,1116,1436.029474
1434.00649,813,1461.527201
1674.671659,872,1470.099186
1861.689087,988,1475.343425
1853.731384,951,1504.804674
2885.359479,1400,1534.534688
1677.5603,916,1539.507394
2764.349513,1125,1569.792708
1831.469459,883,1578.476779
1422.938744,720,1583.343829
1880.044387,1020,1609.450675
1442.074891,786,1617.726853
1650.417415,818,1645.43072
2731.476594,1007,1654.151375
1830.750095,787,1680.344207
3044.389488,1256,1690.542968
1929.465151,1086,1722.876185
1824.899261,810,1728.318674
1836.106371,950,1755.379128
2884.776644,1344,1764.790721
2508.516494,1000,1796.138205
1654.061662,771,1800.55803
2761.018829,1140,1831.75672
2462.13244,871,1840.301937
3142.067117,1435,1870.78289
1716.468789,1012,1876.410702
2774.009924,1032,1907.008532
2797.298918,1179,1915.421008
2820.660417,1206,1946.671253
1669.605075,817,1951.565241
1478.824557,921,1981.880604
2811.989399,1155,1991.008861
1623.116274,771,2018.058171
1803.445215,858,2023.392955
1616.221022,795,2028.212996
1659.434912,906,2061.209944
1874.777563,939,2066.676071
2880.967431,1325,2102.939837
1710.364979,997,2131.121249
1654.734684,860,2136.192397
2551.619703,1087,2145.279497
1706.120479,949,2177.586489
1634.138456,911,2182.687918
2755.346817,1003,2214.296117
3042.943723,1216,2223.404788
1444.066675,818,2251.423771
1875.706564,946,2260.188547
3109.904464,1337,2291.806
1808.179833,850,2296.916033
2768.95323,1135,2329.644161
2744.689859,1083,2338.921938
2769.91856,1162,2367.519117
2597.961244,1095,2398.848772
1612.322471,837,2407.884207
1977.844397,1149,2435.810372
2785.437064,1140,2445.399726
2810.869807,1173,2477.247552
3023.37783,1097,2486.505497
1623.022706,884,2513.920552
2793.581708,1130,2523.710391
2801.516382,1246,2555.660259
1866.411946,997,2564.954255
1851.86815,926,2591.857824
2997.745181,1150,2601.703242
2878.128601,1301,2633.68137
2789.036549,1148,2665.619256
2566.245321,1159,2674.957474
1818.499563,894,2701.868761
1828.528043,879,2710.769706
2848.696777,1184,2743.086672
1825.592921,928,2748.240346
3056.173746,1205,2780.556298
2838.042876,1247,2790.752376
1857.725133,841,2818.020614
3146.824552,1394,2827.905326
2460.889797,848,2859.130615
1717.500383,975,2864.456714
2964.52487,1071,2896.130094
1668.399998,882,2905.506661
3103.041379,1241,2938.117831
1923.824904,1036,2943.660536
1657.906951,934,2974.996311
1844.742285,920,2980.518359
2777.829495,1123,3013.106765
1893.271197,960,3018.587385
3045.324373,1273,3055.425363
3093.684841,1274,3065.622025
2761.505322,1092,3093.937474
3011.906403,1116,3103.397165
2845.826439,1299,3136.326221
2513.616802,983,3168.135022
2762.02106,1140,3177.818379
1940.615609,1128,3205.613842
3009.213239,1135,3215.521281
1849.054873,916,3247.386885
2975.965381,1118,3252.855187
1838.683129,993,3284.279871
1636.531087,768,3289.716897
1807.344203,732,3294.639749
3057.456083,1302,3325.703297
3044.013205,1264,3361.226021
2788.19183,1138,3366.442312
2814.961255,1084,3396.821743
3311.542745,1193,3405.999341
1480.1635,805,3432.986598
2784.253049,1084,3441.928313
3079.266755,1288,3472.893009
