#{"t_start": 1768475795.7982602, "env_id": "None"}
r,l,t
-374.456708,926,5.336933
-341.93366,847,9.777131
-208.895873,949,40.178591
-387.142083,912,45.02289
-350.279565,838,74.462243
-376.303887,694,79.693164
-366.806288,880,84.806818
-365.11424,859,114.303145
-363.184385,828,119.380197
-368.223788,789,145.174974
-310.554061,851,150.317447
-288.630842,995,180.692239
-377.597117,880,186.620085
-340.066153,904,195.902961
-387.278941,678,221.823532
-361.763522,894,226.611702
-169.83899,1274,259.407126
-379.566501,844,269.525741
-364.136095,815,296.782696
-338.29176,945,308.546387
-367.248199,814,315.033895
-343.119535,862,343.066601
-335.727399,734,355.40355
-370.86592,899,382.416621
-200.621275,1273,397.505973
-387.894642,897,423.372824
341.928124,820,436.631816
-345.246352,766,464.060749
614.103113,1964,498.364379
1306.066523,1276,512.666984
546.920895,1414,545.29001
719.500013,1252,558.823642
1409.083828,1536,601.147782
1514.904684,1307,638.775928
1571.445061,1491,675.642839
1605.97117,1336,690.372708
1585.365395,1274,734.188638
1508.264007,1265,747.123719
2125.032633,1675,782.384276
1630.087619,1269,814.230177
714.23993,822,825.929912
1739.822642,1177,852.831972
1553.492288,1111,863.329327
1492.09321,990,894.394994
1774.649087,1298,924.351562
1452.747385,899,929.780539
1503.231339,1077,939.909339
1691.391996,1045,969.108906
1845.409339,1105,994.839582
2942.113495,1608,1008.408686
1705.951192,1009,1037.539733
1625.588884,944,1042.513566
1744.964264,1111,1072.396054
1601.936332,865,1077.317312
1679.424903,975,1106.2641
2875.712627,1340,1115.740347
1598.330996,768,1141.271536
1897.043711,1119,1150.288885
2791.543716,1136,1179.726555
1886.220157,1030,1188.742906
1653.701488,947,1214.260845
1642.923782,915,1223.168809
1476.172086,932,1248.694697
3062.106295,1359,1258.239828
3094.141494,1334,1288.454879
1849.681521,881,1297.359384
1692.307967,960,1323.726866
2820.158721,1252,1353.289518
1637.871171,883,1362.216708
1672.331256,926,1367.153842
2846.627846,1267,1397.431673
1904.938695,1091,1426.413245
1657.369618,914,1431.613644
1855.944893,1006,1441.217882
1532.64503,957,1470.099836
2567.218595,1121,1496.060963
1911.892545,994,1505.065749
1890.416886,1103,1534.381436
1874.204731,967,1539.402089
2782.991678,1067,1569.589217
2858.457012,1261,1578.82915
1637.406957,931,1604.757104
1643.066653,783,1613.062787
1652.776166,866,1618.184932
2833.981794,1239,1649.833217
1716.012779,920,1658.532294
1804.886618,821,1685.733013
1461.791075,862,1690.96593
2817.137852,1211,1723.531276
2780.710119,1089,1732.671795
1725.52731,910,1759.766007
2777.328553,1054,1769.053788
1805.031869,821,1796.410351
2792.34788,1103,1805.352817
2777.745309,1214,1836.16363
1850.716978,925,1844.243413
1601.731062,821,1870.813634
3041.318453,1194,1879.786045
2820.155951,1266,1910.795052
2865.425095,1363,1942.169276
1462.427591,757,1946.923691
1648.558727,905,1955.217756
1856.082716,940,1982.211947
1826.071093,885,1991.022028
1665.107215,908,2018.277914
3245.695455,1168,2027.741604
1638.858633,839,2056.404717
1851.788366,993,2066.106869
1916.44026,949,2093.979359
1668.415662,893,2103.150662
1696.503619,927,2131.248219
2752.388811,1085,2140.348925
1698.454105,933,2168.472924
2805.150848,1131,2178.061739
2723.5971,921,2209.531391
3013.064654,1209,2218.683818
2838.623318,1268,2251.113656
1645.931984,896,2256.119062
1818.062296,852,2286.921364
1668.908634,986,2292.138933
1600.556741,807,2319.944578
2466.532467,878,2329.566999
1683.314687,917,2334.70831
2805.143711,1124,2367.183094
2591.956239,1157,2376.876829
2814.981043,1240,2408.199344
1599.814943,764,2413.157205
3040.85572,1178,2445.222283
1897.129265,962,2476.793496
3014.453791,1179,2482.300971
1860.578763,899,2513.5406
1808.677252,732,2518.6571
2996.670848,1088,2528.192925
3054.930895,1326,2560.376606
3046.319796,1211,2591.565452
1644.643278,822,2596.915719
1447.80311,867,2605.940782
3003.472681,1206,2634.083056
2771.406781,975,2665.719175
1631.671387,814,2670.721535
1685.710974,911,2679.834916
3032.599883,1205,2710.879578
1823.077842,813,2716.066094
1414.961087,743,2743.709631
1859.85632,1014,2752.975608
2832.809677,1184,2785.391563
3064.728335,1272,2795.358532
2989.866717,1148,2827.07763
2776.624971,1130,2854.621941
2858.871281,1208,2864.412251
1830.546813,828,2895.770868
3325.657575,1348,2905.754964
2831.160906,1223,2938.384163
2561.743355,1125,2948.2078
3079.042395,1350,2980.12568
1832.601617,839,2985.471093
2757.844864,1068,3017.919561
1630.977816,805,3023.179746
2810.362645,1100,3055.745507
2844.075734,1327,3088.552656
2818.01373,1198,3098.639136
1801.84495,830,3126.478025
1904.270853,979,3135.959271
2806.979654,1175,3168.070531
2512.501144,928,3173.441082
2825.142823,1169,3205.277953
1794.810869,783,3210.552978
1647.367131,897,3220.076356
2950.436468,989,3248.009204
1666.723477,890,3257.189798
1856.741652,948,3284.48912
1893.161675,933,3294.108185
3175.864842,1383,3325.087245
2725.590606,1012,3333.796041
3015.046507,1121,3361.850454
2760.302881,976,3370.766927
3057.501205,1193,3401.107214
3339.139859,1385,3432.73618
1847.790786,871,3437.903259
1643.834673,886,3468.142085
3003.631096,1175,3477.908075
