#{"t_start": 1768475795.7992868, "env_id": "None"}
r,l,t
-189.798129,1277,8.970793
-368.057677,807,35.682527
-379.202179,909,40.538657
-331.375249,805,48.723064
-179.600875,795,74.643906
371.955857,1080,84.249688
-383.828356,820,109.544757
-385.976577,909,114.986935
-374.070384,880,144.737653
-372.45333,839,149.977919
-384.570153,842,155.133494
-175.919466,1033,186.230362
-375.977685,936,195.54953
-379.734606,889,221.810582
-393.818245,793,226.437621
-340.629314,773,258.399655
-146.437997,1369,269.39001
-277.242531,1106,297.094067
-334.586339,909,308.768638
-289.022394,851,335.391401
-371.739844,870,349.036006
-365.436247,818,355.845866
-356.609958,760,382.602176
319.18844,990,397.355457
560.796646,1637,431.754825
-323.787566,765,443.78646
337.512108,1184,473.610968
623.001917,1473,504.410267
746.639956,973,512.875233
1294.611987,1049,545.04643
1707.212454,1585,586.392756
1322.795884,1241,600.940301
1846.679666,1509,638.845906
545.606352,1029,654.611948
1554.72633,1171,689.626997
1483.879882,1114,699.031881
1805.230822,1347,740.845772
1559.802101,1337,774.862833
1733.051787,1127,782.583285
1750.555937,1297,820.64219
1716.722645,1129,847.306601
1799.948532,1360,862.758041
1703.980872,1066,889.442682
1414.37735,894,899.173058
1467.165189,923,924.566809
1730.8699,1125,934.635914
1844.382359,890,960.232497
1661.84223,951,969.226517
1889.796004,1121,998.734614
1873.781286,955,1003.817018
1477.624619,953,1033.05897
1863.473457,970,1037.981503
1923.969638,1185,1067.705269
1827.706146,933,1076.64737
2792.738178,1213,1105.968174
2794.519902,1213,1115.258924
2770.136256,1206,1141.41835
1611.165013,836,1150.086923
2862.408943,1270,1179.674817
2796.54352,1213,1188.96541
2840.771352,1274,1218.906083
1633.292007,816,1223.733888
2583.446949,1129,1253.361792
1477.8402,863,1258.335459
1606.691469,817,1287.790419
2562.525187,1051,1293.207441
1649.774421,895,1323.225706
1861.345876,897,1328.203037
2758.829091,1106,1357.713239
1902.947204,1123,1366.779291
1856.075451,904,1392.653158
1678.051107,963,1401.782544
2779.151613,1189,1430.904276
1881.894283,942,1436.304728
1425.071339,875,1465.510522
1695.960455,1007,1470.599325
1621.711533,810,1496.157679
1701.560742,959,1505.109566
1632.771795,879,1510.327594
1623.413163,896,1539.019829
2782.172856,1060,1548.34691
2720.678013,1069,1574.465199
1845.827832,887,1583.281003
1855.33896,917,1609.21507
2829.678878,1224,1618.159217
2556.479211,1107,1649.595035
1874.834314,900,1654.758441
1827.846872,921,1685.621799
1870.89991,920,1690.949719
1694.345165,931,1723.061125
1860.648906,960,1728.747065
1460.825285,820,1758.92467
2797.653757,1134,1764.678262
1591.652234,770,1795.780864
2821.67007,1235,1804.803457
1634.850591,883,1831.631942
1896.523094,1085,1840.440876
2809.911144,1107,1870.45805
2902.883302,1282,1879.60807
3040.434253,1228,1910.523786
3027.661455,1261,1919.542729
1858.696821,842,1946.623224
2759.931689,1094,1955.194741
1864.968897,878,1982.123867
1805.66606,848,1986.916043
1626.198169,791,2017.931117
1803.491119,898,2023.325516
1484.246579,945,2055.834839
1871.192871,1005,2061.537087
1901.92286,979,2093.441908
1877.282582,989,2098.950592
2537.588115,1038,2131.054471
1598.295717,834,2136.080547
1677.239405,916,2144.963304
1713.317271,940,2173.362752
1867.581649,887,2182.265703
1716.57623,977,2210.059324
3107.781351,1303,2219.244773
1834.720317,831,2251.111182
1613.864243,816,2255.992554
1633.214852,829,2283.155213
1667.704588,887,2291.871956
1267.817147,724,2296.803605
1685.420765,875,2324.921164
3231.163932,1118,2334.60011
1828.602318,881,2366.748836
2757.333298,1021,2372.090726
2745.074332,1044,2403.515155
1828.172075,888,2408.558787
1902.185978,1050,2440.125443
2792.657197,1084,2449.571624
3105.125332,1366,2481.744963
2877.988201,1235,2513.506113
2803.178924,1119,2523.308713
3102.764952,1268,2555.259413
2790.267705,1261,2564.954213
2565.701355,1114,2592.141798
2797.381506,1186,2601.996411
2605.640475,1066,2633.665108
2763.981034,1106,2643.668664
2812.586183,1160,2674.885818
1803.543121,762,2679.922612
1853.798753,967,2706.778007
2785.476583,1104,2716.224759
2995.210696,1078,2748.197412
3246.749735,1231,2780.556483
3016.707062,1192,2790.680554
3101.736978,1302,2822.530308
1666.346721,814,2827.65051
2778.171319,1108,2859.27591
2972.399,1008,2868.667415
2510.136275,936,2896.109554
1817.600468,869,2901.310952
2922.245726,1390,2938.315929
3055.65434,1311,2948.423432
2869.40367,1235,2980.158392
3311.03803,1270,3012.993885
1689.235973,866,3018.301178
1887.848959,999,3050.539484
1833.958044,941,3056.177875
3101.234503,1342,3088.94583
1657.490058,811,3098.528811
3267.366797,1301,3130.850032
2818.738997,1164,3140.883936
3039.217514,1202,3172.998945
1870.004808,984,3178.414973
3044.005215,1254,3210.496813
2516.093305,951,3220.0874
1932.022543,1030,3248.125904
1897.770175,982,3257.41649
1719.836765,960,3284.725405
1717.952782,859,3294.196759
1714.150007,926,3320.943269
2715.764792,965,3330.119077
2783.978157,1084,3361.28803
2794.367837,1057,3366.395903
1909.435673,1074,3396.754284
2857.756464,1174,3405.907854
3088.364307,1272,3437.429901
1820.482805,870,3442.153711
3027.778735,1244,3473.122202
