#{"t_start": 1768475795.805658, "env_id": "None"}
r,l,t
-199.27854,1192,5.686306
-368.77099,861,35.629109
-374.88553,782,40.327893
-372.039807,859,45.106148
-373.115445,681,70.10619
-372.66781,816,79.719703
-335.829669,824,84.752241
-332.228351,808,110.073553
-366.826202,769,119.161775
-201.566016,1490,149.919891
-398.834103,963,159.318886
-368.404348,899,186.145703
-385.277223,813,191.368317
-365.503817,823,221.439921
-370.065434,907,226.230203
-368.367352,674,230.794854
-160.400268,1084,263.85042
-369.046466,947,270.078512
-354.502666,870,302.550534
-366.24278,909,309.018525
-341.416892,903,342.43288
383.005871,1648,376.078308
248.807142,1183,389.507979
-319.153527,987,422.907205
-324.431186,860,431.5632
538.434499,1347,464.326784
377.379157,1002,473.897441
536.098516,1120,504.255082
1321.716328,1290,519.871705
1411.96974,937,545.182367
397.596412,1217,558.644374
624.509965,924,592.97016
1604.696578,1472,629.678661
484.131797,914,646.051888
1255.157388,991,654.993941
1747.657085,1099,689.863302
1583.616098,1243,727.284681
1770.691413,1351,741.272663
1653.991644,1557,781.699566
1514.379224,1239,813.53009
1768.196789,1261,825.879288
1213.477787,803,852.205947
1460.067592,961,858.069386
1971.20199,1400,894.217614
1596.180495,1286,904.099586
1464.798217,1052,929.766112
1707.190683,988,939.792521
1671.168182,1048,968.976255
1571.171761,1172,994.799163
1475.41074,1066,1003.783196
1515.114121,1143,1033.305489
1229.304735,845,1038.036462
1421.745095,939,1046.811646
1397.663606,834,1072.556554
1653.571128,962,1081.184456
1502.455087,989,1106.589523
1700.102133,984,1115.554441
1637.050378,940,1141.338067
2981.979035,1239,1150.506947
2809.644082,1299,1180.220399
1893.169119,1005,1189.201168
1666.923317,935,1218.669681
1851.880861,968,1223.696879
1640.108716,845,1249.075314
1501.040307,884,1257.976791
1667.489558,961,1283.845038
1672.05403,794,1292.595533
1784.216256,1162,1323.025988
1616.998361,874,1328.001434
1517.536345,892,1353.349298
2779.812211,1165,1362.630165
1936.994137,1084,1392.440441
1643.915543,927,1397.615697
2802.136888,1169,1426.764397
2592.557602,1127,1436.274807
1866.8449,942,1465.570755
2779.544251,1049,1470.75221
2776.191998,1135,1500.552172
1846.977486,941,1509.6443
1687.651015,978,1534.801448
1672.264008,918,1543.595825
3057.372992,1404,1574.201928
1822.487633,802,1579.014829
1649.469159,827,1608.634577
1710.64739,988,1613.373709
2527.81851,1042,1645.298321
1908.504759,1056,1650.205731
2771.786967,1121,1680.777432
1870.41462,1005,1690.577356
3032.721429,1237,1723.157607
1639.111851,882,1728.727519
1926.493715,1083,1759.334898
2780.382084,1088,1768.700321
1627.056591,840,1796.098466
3110.102224,1266,1805.283557
3054.735856,1189,1836.062392
1840.545632,919,1840.983414
3051.104212,1270,1871.380645
3059.214465,1248,1902.658845
1489.491022,858,1910.817363
1417.182977,767,1915.488825
1847.341987,923,1946.250245
1656.981207,919,1951.39199
1677.850634,968,1981.719913
1852.285338,977,1986.669495
2740.579495,1084,2018.120445
1682.777857,904,2023.519937
2541.893336,1044,2056.191518
1658.876771,924,2061.775261
1658.065875,843,2093.464456
1876.465535,948,2098.91467
1897.339361,956,2108.463762
1651.577835,907,2136.025147
1870.426901,1020,2145.053566
1819.036031,903,2173.410827
2797.028982,1215,2182.813436
2863.59602,1286,2214.772063
1869.49197,931,2246.766133
1637.930902,816,2251.534972
2747.096301,1111,2260.505704
3319.015327,1329,2292.118137
1686.659349,937,2324.2446
1675.080444,946,2329.843971
1610.588956,859,2334.88002
2727.768633,1063,2367.272356
1839.890948,945,2376.619194
1654.864087,824,2403.668333
1621.659848,864,2408.662469
1838.935155,780,2439.833526
1859.119324,972,2445.358983
1622.404584,726,2450.240833
1660.985753,947,2481.74778
2815.740094,1267,2513.559838
2526.453348,960,2519.028553
1469.444354,828,2528.16057
2804.695369,1198,2560.119969
2812.758532,1189,2591.29336
1468.853537,794,2596.614301
2745.5176,1006,2602.072351
1673.460804,934,2633.556001
3029.22454,1119,2643.580267
2822.910858,1126,2674.769302
2842.07506,1208,2702.129217
3093.074997,1336,2715.724103
3118.613028,1344,2748.029396
1881.837623,962,2753.343327
2790.935086,1047,2785.645413
1816.888769,890,2791.146898
2867.133312,1247,2822.996956
1867.819641,889,2832.030573
2882.117661,1359,2864.121507
3116.616588,1300,2896.093145
2860.078913,1257,2905.956487
2899.518366,1325,2938.72194
2867.124621,1272,2970.616599
2820.508676,1178,2980.504394
1859.548585,954,3012.822803
3597.83879,1499,3023.143931
1911.47157,1022,3055.59055
1633.047356,773,3060.808673
3085.830625,1356,3093.737926
1690.817906,934,3102.908629
1855.505985,882,3130.990505
3033.978052,1188,3141.062125
1833.333953,804,3168.578496
1638.554608,799,3173.687116
2824.527848,1192,3205.626761
2796.727134,1060,3215.407523
2773.166464,1092,3247.555028
2846.35704,1259,3257.309612
1923.493162,1005,3284.689539
2809.510189,1235,3294.63212
2560.13725,1034,3325.219275
1677.777438,894,3333.747529
2846.693623,1144,3361.834999
3040.794191,1276,3392.553441
1872.96728,920,3401.127497
3055.687347,1243,3432.525287
2789.00897,997,3437.902574
3056.680504,1197,3468.62874
2772.574304,1023,3478.164173
