#{"t_start": 1768475795.8002532, "env_id": "None"}
r,l,t
-369.978344,741,5.077852
-381.093134,861,9.494067
-192.869298,1159,40.235865
-363.759806,814,44.925349
-358.276511,832,74.359977
-157.104026,1604,84.752008
-363.315836,929,114.359679
-373.705328,693,119.229693
-364.668631,932,145.246578
-373.40678,802,150.306936
-311.083491,780,159.473741
-379.340579,821,186.186079
-374.147042,925,195.487457
-378.390598,826,221.657938
-361.064368,940,226.511025
-353.034584,927,258.713919
-352.70817,849,264.102083
-404.228674,752,270.073533
-166.593035,1491,308.648322
256.83417,1132,342.34324
351.723657,1541,355.910143
-129.603001,1482,389.713206
-358.945033,813,422.857129
231.159925,1110,436.42315
-438.283254,1680,469.711059
503.909091,1281,498.462137
707.458144,1141,512.60335
-136.390942,1424,545.23647
806.150969,1034,558.416938
1464.476528,1335,593.382195
617.93416,1034,608.796841
1496.233135,1079,646.037106
1848.815191,1712,682.069482
1417.056017,875,698.35364
1473.537698,1083,727.765873
1367.658509,1185,741.488805
1855.150898,1489,781.846195
1677.952128,886,808.802434
1330.316387,1156,820.958865
1771.129498,1180,852.230152
1496.347184,1067,862.7716
1468.411602,1009,889.37272
1628.105254,991,899.251735
1419.205016,899,924.603591
1696.668736,1074,934.592749
1537.670509,1059,964.444061
1536.043015,1118,969.624309
1523.020015,980,998.979333
1693.615748,978,1007.873124
1720.10941,1033,1033.455213
1669.064965,902,1041.976101
1691.169456,994,1067.725561
1752.929862,1057,1076.863332
1867.037474,1091,1105.989755
1447.5777,886,1111.065345
1846.814216,1022,1140.794111
1442.457759,898,1145.599493
1486.072552,967,1154.405977
1604.54383,817,1179.794788
1855.91362,892,1184.835664
1256.956684,791,1213.89589
1630.520966,893,1219.122115
2550.172414,1227,1248.728701
1629.350396,938,1257.736789
1958.991929,1189,1283.897031
2794.605807,1135,1293.179634
1857.34489,941,1323.274588
2829.059376,1152,1332.227001
1851.40296,908,1357.847114
1909.906856,1130,1366.916479
2783.956386,1175,1397.092153
1624.586336,908,1402.259544
1619.297615,773,1426.90527
1607.820967,877,1436.039174
2531.023046,1013,1461.826259
2765.961895,1140,1470.763926
1890.657135,963,1500.342103
2750.842356,1092,1509.62851
1408.525798,809,1534.533234
1839.761785,954,1539.563621
1654.609254,852,1548.594146
1606.976298,814,1574.353215
1817.103406,902,1583.162039
1451.950633,903,1609.08204
1716.254284,957,1613.756562
2563.427247,1104,1645.695188
1695.759451,980,1654.397687
2526.524144,1078,1685.43687
2988.392986,1134,1691.081094
2998.168581,1189,1723.626587
2825.931328,1275,1755.353467
2843.358381,1205,1764.557658
1581.093669,785,1769.474696
2806.859396,1240,1800.700281
2811.948986,1205,1831.970073
1820.201286,847,1840.465053
2792.110935,1106,1870.486336
1636.17629,917,1875.950789
2829.85332,1249,1906.884487
2829.459671,1194,1915.331758
3049.645738,1324,1946.7581
1609.998817,698,1951.493453
1731.950723,965,1981.857459
1967.155092,1121,1987.004092
2476.813124,877,2018.139786
1615.907406,831,2023.437757
1814.113735,911,2055.881979
1853.317515,915,2061.462114
2771.740252,1103,2093.548047
1435.349401,791,2098.768605
1600.616343,796,2103.683031
1619.017358,787,2135.432884
2745.394682,1067,2140.721266
1858.538705,958,2172.952389
1874.483889,916,2178.163285
1610.558679,778,2209.415535
2603.165613,1129,2214.823221
2768.802141,1133,2247.083186
1663.318586,936,2255.742263
1826.335515,867,2282.962035
1644.2239,890,2291.693522
1499.696296,943,2296.932248
2842.344808,1208,2329.770047
1418.436921,731,2334.64359
1838.316983,981,2366.936248
1632.96759,877,2372.081516
1894.340302,952,2403.361209
3039.850996,1166,2412.69342
1455.362507,964,2440.280266
1627.010009,775,2445.476602
2792.697606,1156,2477.30221
1813.630491,790,2482.312067
2794.643612,1159,2513.9437
1856.191659,948,2523.455181
2856.856418,1217,2555.369213
2479.600262,814,2560.534667
2535.886159,959,2591.321331
2803.433651,1166,2597.205638
2785.49319,1157,2629.013797
1675.717981,842,2638.608871
1666.458158,878,2665.750127
3078.922501,1322,2675.324595
2819.205716,1157,2706.391397
1630.002969,848,2711.523906
3032.395253,1237,2743.831332
1685.691266,971,2753.045946
1674.12096,828,2780.911502
2488.155752,859,2790.518353
2793.304514,1015,2818.016098
1825.968319,869,2827.109438
2849.28552,1251,2858.944114
3078.579429,1237,2868.689686
2892.23262,1358,2900.640102
2534.61546,935,2906.122414
3294.542993,1334,2938.895359
2783.298942,1104,2970.574246
2949.278844,1334,2980.698845
2911.776938,1297,3013.552905
1825.145614,830,3022.830144
2868.323507,1273,3055.675804
2762.532734,1070,3061.291234
2620.377344,1179,3094.003157
1836.386977,783,3102.938567
1624.364113,843,3130.965948
1839.729538,872,3136.514118
2865.41266,1243,3168.748676
1866.135125,971,3178.14676
3016.350735,1219,3210.219251
3026.722929,1146,3220.064934
1688.438453,877,3247.822879
3016.437067,1227,3257.561117
3013.593564,1163,3289.40559
2859.440016,1199,3320.582694
1864.221312,949,3325.544863
2868.769344,1237,3357.177169
1867.371512,921,3365.906022
3292.941146,1307,3396.642611
1857.702248,857,3401.539352
3006.597168,1124,3432.775673
1807.753118,814,3437.849252
1858.315287,974,3468.230349
2557.925289,1053,3477.794035
