#{"t_start": 1768475795.803763, "env_id": "None"}
r,l,t
-167.688438,1196,5.693281
-351.920619,818,13.921921
-328.60871,908,40.443601
-387.819989,909,48.773194
-384.286772,745,74.61133
-316.653592,889,80.143796
-377.703222,845,109.262456
-362.031669,947,114.780303
-373.867417,779,119.846783
-156.185644,853,149.675357
-371.798665,889,154.843032
-355.346899,821,180.993153
-398.014989,840,190.900092
-386.55547,984,216.897645
-332.036511,895,225.972406
-380.132375,993,231.022196
-367.825435,908,263.818212
-365.866676,898,269.951811
-356.625295,715,297.049035
-375.905611,850,308.650149
-310.674586,778,335.174038
-355.37622,789,343.015715
-332.877014,861,355.545095
280.851443,1198,388.906319
-362.938161,857,397.476206
322.707485,1166,431.197561
-364.235839,861,437.07026
-305.752195,883,469.161602
502.408059,921,474.017272
479.902899,1328,504.715009
608.782061,1378,540.115117
-150.16497,1035,551.477986
307.69822,1070,586.490988
1369.463211,1143,600.911294
1264.499669,1170,630.105982
1529.042647,1288,654.465311
1494.053574,1063,682.055992
1536.832705,1066,698.637588
1307.833513,1114,734.425782
1528.221808,1079,741.627892
1798.52173,1227,775.459761
1439.117171,900,788.323115
1673.060739,1288,820.947625
1355.317182,1215,852.268848
1749.197971,1171,862.945477
1696.401818,1191,894.269094
1495.209891,1002,899.737477
1511.320168,1128,929.531452
1423.536739,983,939.569667
1637.957699,871,964.851126
1710.391506,1087,973.852743
2774.91869,1108,1003.233404
1436.933222,851,1008.242305
1659.193589,1003,1037.390531
1765.718075,1092,1042.562207
1729.993121,1051,1072.360452
1676.092275,952,1077.406141
1678.90785,1073,1106.480414
1683.747876,980,1115.434797
1611.737539,892,1141.181904
1653.584582,878,1149.903924
1747.059167,1164,1175.643879
1529.117186,1035,1184.554597
1908.110669,1049,1213.988824
1979.103053,1254,1223.411771
1700.893428,946,1248.932761
1745.75481,992,1257.991039
2535.286458,1027,1287.692672
2821.853027,1269,1297.20963
1681.082935,983,1323.591653
1850.9942,1014,1332.338763
1610.591687,765,1357.736796
1640.22981,875,1362.742839
2809.041463,1221,1392.778226
2837.563459,1254,1402.362006
2832.603816,1252,1431.551495
1898.695573,1158,1461.555872
1649.825213,893,1470.151173
2864.242511,1281,1500.202616
2830.056549,1138,1505.576259
1803.907489,805,1534.4398
3009.921032,1174,1543.59905
1857.404421,929,1569.772715
1907.60215,1139,1578.820936
1659.265093,903,1604.701705
2799.525984,1184,1613.609162
1445.39798,854,1645.232998
2577.911823,1208,1654.205269
2813.425939,1120,1680.919886
2794.570858,1127,1690.921868
1835.69106,1032,1723.181723
1673.263096,942,1728.827585
1809.726227,898,1759.158095
1819.64487,872,1764.503376
1677.70204,906,1795.795799
1850.061693,855,1800.237099
1630.953759,856,1805.549428
2980.921041,1120,1836.240975
2802.102223,1133,1844.628828
3017.776539,1245,1875.914474
2752.501823,1068,1906.545572
1844.167001,842,1910.952437
1873.701354,1003,1941.817886
2849.697211,1312,1951.168667
2781.216398,1111,1981.671244
1621.922525,802,1986.298474
1490.338215,837,1991.508334
1822.310459,807,2018.647566
2517.870814,1000,2027.844907
2585.595287,1118,2061.128637
2743.276345,991,2066.675227
1879.211016,1000,2098.595219
1413.857373,731,2103.452899
1862.948579,1003,2135.498713
1693.153816,949,2140.618077
2777.990448,1124,2173.100005
2748.771326,1072,2182.304518
1667.288927,894,2209.97245
2824.662651,1168,2218.996462
3061.985248,1244,2251.450578
1669.625178,825,2256.363043
1688.103758,902,2287.23693
1870.706407,986,2292.414519
2840.87474,1170,2324.88477
2775.26464,1108,2334.554926
1642.11581,889,2366.713348
1557.639708,1028,2372.056852
1627.215652,857,2403.180897
2752.296225,1094,2408.557528
3021.488005,1225,2440.401291
2744.494994,1053,2449.818299
1814.637034,931,2477.470249
1658.193835,868,2486.427929
2796.129183,1047,2514.086905
1920.741931,1105,2523.823558
1657.548082,927,2555.312865
1857.430598,898,2560.615037
1849.054703,906,2591.316356
1645.17093,840,2596.704708
1927.624425,1070,2628.4597
1877.729795,998,2633.860989
3038.709493,1212,2665.845347
3014.725567,1228,2675.289785
1506.387425,838,2705.889105
1851.433388,951,2711.168032
2840.49157,1171,2743.444111
2825.406379,1315,2753.098584
3027.464048,1170,2785.504639
2782.787034,1104,2795.233835
1895.053634,914,2822.706752
2750.831229,1047,2831.993748
3299.285472,1354,2864.074721
2751.767116,1055,2895.72972
2811.39094,1131,2901.26498
2991.111905,1259,2933.881861
3027.700458,1269,2943.96264
2814.942933,1142,2975.606551
3063.686192,1218,2985.624113
3110.285447,1238,3018.337091
2801.018182,1186,3050.805411
2465.923712,905,3060.486527
3315.305105,1307,3093.33823
1473.964853,921,3098.844338
2997.121546,1159,3130.99629
2837.558477,1217,3141.109921
3072.309761,1290,3173.333051
2923.817153,1313,3205.384268
2750.05312,1156,3215.301834
1773.207586,1053,3247.394151
1658.249658,800,3252.436108
1912.269885,988,3283.800824
3072.188768,1273,3293.910555
3036.563399,1147,3320.979013
2791.906258,1147,3330.391198
1648.905535,866,3361.285116
2865.110267,1262,3370.496454
2799.543635,1068,3397.0617
2860.255109,1212,3406.277098
1808.419488,878,3437.18299
2830.726529,1214,3446.352849
3057.192923,1272,3477.834928
