#{"t_start": 1768475795.7968118, "env_id": "None"}
r,l,t
-365.871173,743,5.08395
-374.581108,766,9.343915
-371.659534,811,36.036463
-369.916051,817,44.24837
-375.397693,857,49.036679
-299.454578,848,75.007337
-378.829797,940,84.418408
-369.968075,947,109.929737
242.819482,826,119.116107
-351.830792,957,145.160971
262.931704,942,154.321639
-347.243913,778,159.610278
-384.090932,977,186.561795
-348.730232,944,195.905884
-379.984705,821,222.037029
-333.046915,749,226.611606
-370.944603,855,258.704475
-361.639923,1008,264.305788
-146.68016,1461,302.532429
-203.464748,989,309.119601
-399.264609,766,342.33558
353.599817,1576,355.960183
-244.406785,1006,389.031291
-305.082223,1183,422.763134
261.686386,851,431.348773
191.631842,1078,443.830894
551.743994,1528,474.060399
645.417106,1437,504.924442
-379.61754,848,519.87757
915.700762,1752,558.010028
1566.617812,1515,593.277675
637.013975,1404,629.899218
1257.812055,971,646.332959
1849.976787,1752,689.662024
1494.210766,1183,726.964359
1386.327156,1125,734.992501
1491.17608,1078,767.995487
1528.892461,1186,782.105546
1251.294286,913,809.054133
1677.983126,949,820.944288
1485.74479,1110,852.114427
2058.210367,1540,863.267704
1776.709318,1279,894.68018
1693.472974,953,904.193181
1804.483908,1228,934.413707
1702.477027,982,960.151628
1468.025047,890,969.07561
1650.372539,918,974.235035
1259.901663,836,999.487005
680.540079,728,1008.016047
1541.61488,1003,1033.555372
1557.507368,1066,1042.311903
1709.349608,1042,1072.13956
1898.126096,1030,1077.25255
1710.154198,1009,1106.24793
1422.617377,846,1111.241774
1895.806619,1080,1141.034628
1669.878711,851,1145.822845
1688.321492,1028,1175.302306
1611.214921,898,1180.211271
1911.200857,1020,1189.216505
1729.776377,963,1218.716251
2567.752357,1066,1223.886785
2786.422915,1151,1253.558414
2808.905935,1288,1283.688183
1623.865489,823,1292.459535
1657.699737,974,1318.740209
1679.100008,853,1323.881073
2775.879899,1111,1353.249335
1700.68182,958,1362.278901
2856.313545,1309,1392.35242
1614.457388,843,1397.435741
1421.636968,797,1402.496978
1880.139363,1047,1431.388257
1649.481444,784,1436.555915
1707.129261,951,1465.808044
2757.863119,1106,1474.955977
1424.604987,846,1500.508774
3005.563893,1182,1509.941116
3103.970615,1276,1539.169008
3020.123096,1169,1569.498777
1804.122967,889,1574.508787
1870.523606,915,1583.363884
2823.82834,1200,1613.025756
3036.304123,1268,1645.256629
2765.330128,1061,1650.149769
1845.286485,923,1680.411138
1878.033465,1037,1690.285288
1892.38731,1000,1718.406965
1895.90375,966,1728.179051
1883.431737,945,1732.922478
1885.543438,938,1764.021377
1619.627282,891,1769.094639
1898.892855,1065,1800.057323
2885.67942,1321,1831.57229
1865.675343,879,1836.406859
1919.848852,1134,1866.971189
2803.988048,1113,1875.87621
1625.960146,912,1902.571049
1634.753295,843,1910.683862
3060.444991,1260,1941.935778
1806.124469,765,1946.70607
2993.316626,1152,1955.383672
2777.565436,1169,1986.197095
1803.816779,811,1991.398192
3048.530903,1249,2023.207181
1731.121241,929,2051.789491
1645.117074,820,2061.102615
1437.978264,790,2066.331486
1868.128244,1070,2098.373847
1843.616464,907,2103.493362
2789.336609,1236,2135.900769
1670.25791,800,2140.769881
2760.521846,1014,2173.106471
1804.621249,838,2178.182256
3043.131244,1262,2210.187942
1883.606255,1036,2219.00598
1822.166474,802,2247.185203
1626.359255,833,2255.704084
1839.278874,954,2283.055577
2723.690427,944,2291.853804
2698.371735,920,2297.053657
1835.82242,939,2329.506244
1930.464644,1047,2334.820418
1878.856468,1027,2367.170111
2991.182815,1081,2376.743325
1627.774796,760,2403.664956
1599.225553,839,2408.627723
3012.048081,1184,2440.413533
1644.90938,928,2449.606185
1898.048486,962,2477.366363
2807.204331,1132,2486.703827
1862.128589,944,2518.147997
1840.223981,850,2523.549755
1884.59745,974,2551.166268
1694.248365,903,2560.41143
1897.488491,1079,2591.396101
1906.227525,1039,2597.077864
1669.37006,841,2628.480213
1673.61339,821,2633.599779
2779.156053,1041,2643.497132
1899.284171,947,2670.559555
2616.58613,1022,2679.8427
3360.432343,1426,2711.241836
3034.498812,1215,2743.56849
1831.085886,800,2748.544841
1896.01427,970,2780.511125
2505.0293,932,2785.948823
1656.520283,801,2795.239042
3148.755116,1329,2827.228803
2874.601913,1296,2859.127141
1859.159132,883,2864.336843
1652.6136,825,2895.691085
2985.440818,1029,2901.049041
2796.438196,1147,2933.490392
3143.51799,1401,2943.780367
3034.100238,1146,2975.44329
1870.09594,891,2985.033851
3096.593527,1413,3017.939933
1811.973274,799,3023.187842
1652.721857,856,3051.115396
1860.739232,921,3060.824867
3038.368202,1169,3093.466426
2917.789194,1330,3103.26095
2887.958457,1283,3136.156631
2764.559349,1089,3168.135477
3312.446901,1399,3178.203703
3050.67896,1281,3210.351091
1845.499494,849,3215.713125
1833.567369,810,3247.415772
2792.820067,1084,3252.837028
2867.630734,1231,3284.634709
2799.16756,1158,3294.505373
2806.609969,1192,3325.29695
1672.122492,842,3330.638079
1441.127682,720,3361.31262
3016.661598,1130,3366.540128
2781.35792,1135,3396.99403
3041.680525,1194,3406.18068
3038.010414,1103,3437.436345
3093.463935,1276,3468.278331
1792.827841,767,3473.024834
