#{"t_start": 1768475791.3365874, "env_id": "None"}
r,l,t
-374.985195,732,1.426557
-345.786865,761,1.980101
-343.260325,779,7.435987
-369.700566,751,11.323183
-340.307792,850,12.011961
-345.786164,757,18.074807
-367.607074,847,22.671728
-309.886266,1002,29.330283
-318.04016,875,30.119855
-173.111277,1310,41.420249
-370.047309,665,41.945585
-299.242739,938,51.184838
-366.283038,802,51.815411
-364.852411,802,52.424882
-136.562263,901,62.201225
-337.470035,814,62.957642
-369.521843,734,63.634251
-242.606747,1155,73.629593
-184.072812,1031,79.346352
-366.29623,714,79.981771
-343.922711,728,84.342222
-316.132558,925,90.053547
-362.760958,749,90.720423
-369.21423,663,95.457116
-317.597784,1008,101.74234
-291.346209,777,102.427988
-310.522019,814,112.067808
-204.298444,1053,112.910585
-196.473916,899,118.530531
-186.823344,1015,123.735396
-203.658673,1186,129.608031
-89.840641,1499,134.999743
-200.150185,794,141.174569
-289.633875,949,146.490191
-155.007888,1143,152.655886
-341.490524,908,153.409316
-314.718516,1045,163.280654
-137.183574,1537,170.226303
-376.810127,880,175.124966
-303.65626,917,175.981544
-335.252375,1012,186.431497
-36.901408,1944,192.855725
-322.169384,1051,197.775758
-295.424235,940,203.799582
-328.007442,1016,208.329417
-338.031543,830,214.818586
-364.585357,871,215.627718
-333.802878,944,225.196124
-362.171872,930,225.92288
-205.367482,1023,231.442964
-140.489384,1168,235.61873
-340.723456,929,242.030182
-78.391132,1500,247.457161
-205.725288,1130,255.359793
-217.564828,1045,259.942799
422.481273,1270,266.403861
-273.348859,1026,277.45037
623.049345,1509,278.674529
-107.614763,955,290.368918
-123.953196,1256,291.63812
-176.643638,1072,303.376348
67.528749,1592,309.819325
-329.498304,958,316.023126
-18.890109,1635,322.713924
967.984773,2683,335.755906
186.788155,2147,345.917098
-164.851769,1557,355.479678
-205.14989,1206,360.966225
-338.038412,628,365.615009
-194.438817,1320,372.292989
-162.315255,1555,377.413281
-338.041615,953,383.182402
-337.633444,900,383.856441
-187.78904,1244,393.8503
-110.513923,1505,403.448863
-253.164619,1033,404.212479
-313.922922,946,409.749216
-80.216037,1594,417.958877
30.188436,1633,429.725044
-160.975344,1361,435.109371
-292.273558,1081,441.055617
-322.991338,999,446.353362
-338.68267,831,446.954061
-340.299601,1044,457.050568
-332.426811,1061,458.063313
-214.147749,1217,469.732814
-262.965449,1135,470.583112
-169.495779,1126,480.588176
-376.528218,814,481.178958
37.508218,1808,492.656375
-317.710988,978,498.992079
-345.271461,919,499.830408
-374.501489,930,508.344229
-112.385455,1316,509.528616
-283.726238,1136,518.29144
-358.045014,676,518.808038
-305.437894,990,524.075339
-366.058665,847,528.561268
-337.687417,853,529.327705
-320.625404,737,535.421579
-296.441699,900,540.987331
-136.997076,1439,547.212165
-321.326642,795,551.370105
-113.24514,1375,556.968807
829.80456,2116,567.164626
-191.822572,1166,573.514589
-144.574351,1059,579.472892
-314.683697,886,585.97599
-308.793333,826,591.057701
-104.181304,1186,596.797229
823.764934,2432,607.868178
-322.581316,1080,608.742832
495.998868,1517,620.756326
666.736278,1642,633.605624
272.283748,1171,634.738041
-117.769277,1328,644.939249
-316.644246,972,645.702259
456.233827,1186,656.510096
413.757787,1379,662.874505
118.215998,2113,675.2453
-145.279127,1423,680.954894
-279.380444,967,686.509452
-95.768538,1557,696.512588
-314.956339,965,697.295707
-194.269228,1093,703.032769
-108.32438,1376,708.277758
-239.649744,994,714.62062
-89.285788,1549,725.181438
598.6948,2557,736.255239
-299.051388,810,736.87363
-179.153197,1031,747.81179
606.176048,1589,754.313433
-310.524311,1035,759.645729
-239.419007,1186,766.298492
-341.811584,1040,772.073395
-158.937148,1258,777.931702
397.908645,1445,785.169804
399.020098,1653,791.31542
-245.284512,1093,802.285084
-216.48025,1157,803.34622
-342.166135,759,816.201495
332.76462,1262,817.208209
-29.220701,1750,829.625066
454.596824,2841,847.667655
323.87548,2349,858.930947
762.279321,2508,873.622297
-244.493126,899,874.439791
-141.962807,1481,887.444682
823.269978,2632,902.920022
-133.609408,1071,908.687997
494.960445,1452,921.739472
768.07398,2888,934.212931
-206.521683,1305,949.466866
-248.479845,1043,950.445795
75.237951,1523,964.121675
-136.422467,1265,970.461336
346.47474,1159,976.548792
-250.064423,1065,982.732011
-238.956889,1152,983.799621
684.149103,3000,1008.377436
-177.243411,1061,1009.247439
564.225339,1864,1020.562361
-139.012575,1029,1027.041024
-30.798005,1595,1033.338625
-188.52321,1032,1039.549001
-341.908683,1005,1046.217963
-308.334178,1134,1052.16835
-350.843943,671,1052.786281
173.763391,2018,1066.0465
-265.315044,1085,1077.373571
-186.244259,1201,1078.340151
-109.498234,1692,1091.660029
-5.505392,1779,1098.856989
900.017214,2245,1110.361171
360.725401,1106,1121.506344
-97.317838,1651,1122.836858
-229.359966,915,1134.125188
