#{"t_start": 1768475791.3352654, "env_id": "None"}
r,l,t
-368.934178,738,1.431734
-321.433687,820,2.033299
-361.701984,787,7.490634
-288.486345,887,11.49005
-278.738501,913,17.502026
-366.466319,731,18.351452
-352.058388,720,22.812556
-375.689613,756,29.213442
-366.978945,798,29.932927
-347.280771,726,34.996088
-273.233779,858,41.47715
-367.346171,733,42.059882
-350.760981,800,51.185847
-207.600746,1082,52.021801
-299.880908,833,52.663165
-280.224777,909,62.493673
-240.962336,1121,63.535036
-359.875131,790,73.216568
-315.002502,947,74.060081
-142.985963,1010,79.74576
-286.711356,913,84.273693
-384.578834,925,89.98712
-311.404352,765,90.659497
-329.3034,900,95.607058
-306.912812,836,101.748543
-311.160454,832,102.482095
-321.144943,834,112.130316
-166.503898,1265,113.12443
-315.565811,1069,123.251437
-338.728966,821,123.973535
-353.903056,684,129.38615
-329.6698,954,134.296338
-267.162064,1124,140.745866
-138.779688,1310,146.408735
-289.09782,938,152.423404
-367.73041,931,153.180052
-304.486489,840,162.910829
-369.63577,681,163.445821
-283.442905,895,164.230062
-351.279252,914,174.750716
-330.302748,1082,175.770501
-374.600593,852,182.081693
-300.09625,923,186.854942
-348.934699,857,192.401234
-178.62241,1490,197.681488
-160.080488,1345,204.037916
-198.213832,1201,214.462509
-277.020526,1080,215.48329
-370.335775,887,225.048009
-186.37263,1356,226.120342
-352.493319,850,231.477402
-182.019111,1250,235.739985
-172.935404,1405,242.582291
-269.151979,996,247.546458
-269.629506,977,255.31321
-380.719547,936,259.809114
-286.523782,1023,266.073491
-249.963008,1093,266.94913
-179.853793,1213,278.146508
-279.831334,976,278.987108
-163.923324,1045,290.776051
-244.694081,1020,291.848722
72.886041,2047,304.359371
479.422575,1491,316.11958
-286.472121,841,322.094088
-161.476198,1279,323.248785
-266.109058,918,334.68436
-320.241277,932,335.521986
79.168586,1536,345.306176
-172.116575,1200,346.222605
-321.038806,892,355.25399
53.515212,1850,361.281994
-373.364076,946,366.216775
-264.209079,1156,372.759611
-293.548022,1167,377.494268
396.879487,1458,383.641752
-375.90278,927,393.279798
-295.989958,1109,394.303944
-204.652269,1109,403.509995
314.012786,1062,404.302602
-331.406511,766,409.692891
-373.002655,974,417.327163
431.351034,1246,424.016103
-282.648154,1052,429.715436
-235.17426,1055,434.884159
-133.426885,1423,441.077358
-293.058486,928,446.316658
