#{"t_start": 1768475791.3359346, "env_id": "None"}
r,l,t
-362.251797,841,1.499111
-291.237288,838,2.143041
-340.80142,792,7.579688
-348.885938,855,11.562915
-352.956646,770,12.218774
-284.811198,806,18.376399
-375.12583,767,22.880713
-221.490819,764,29.283462
-377.557333,822,30.026858
-256.054078,968,41.06765
-367.732123,799,41.706454
-372.887088,792,42.340471
-288.357589,895,51.544564
-372.236363,847,52.187316
-371.793562,840,58.229095
-312.042284,720,62.516577
-370.513923,828,63.271503
-209.257248,1018,69.649385
-323.896266,797,73.88483
-367.242953,668,79.280526
-370.976687,827,80.009469
-356.268802,699,84.346759
-320.365722,841,89.98395
-318.614443,1069,90.928533
-338.504197,819,101.193055
-293.682594,973,102.068111
-348.453516,815,102.787945
-134.185462,1462,112.907345
-302.522954,910,118.536127
-366.426215,954,123.682126
-320.794344,874,129.258512
-277.335801,776,129.97981
-335.38154,651,134.59563
-285.919521,1092,141.02371
-338.30779,932,146.342769
-309.905107,1087,152.488008
-374.333671,927,153.240704
-371.238895,843,162.96749
-164.483241,1249,163.997217
-195.814437,1577,175.13637
-381.998832,893,175.971611
-182.656669,1338,186.684904
-357.310953,815,187.320414
-371.982576,956,192.966091
-373.739195,890,197.760672
-350.020354,966,203.805951
-213.514399,947,208.269117
-254.601191,1184,215.085103
-330.511232,851,215.898344
-141.853699,1368,225.710523
-322.450825,1034,226.637774
-371.558449,784,235.071053
-293.788334,920,235.920219
-352.129323,821,242.219177
-367.599453,965,247.11516
-306.489484,910,254.825102
-267.282865,929,255.706147
345.016666,1181,265.790452
-193.145522,905,266.524612
-139.254761,1064,277.591943
-225.590619,1156,278.539228
-245.537354,1182,290.429718
-369.614819,903,291.265923
-108.086955,1673,303.648342
446.153634,1894,310.326022
-156.823546,1299,322.098483
563.751172,3000,335.414446
640.846188,3000,346.323361
432.607497,1763,355.986934
-152.252223,1466,365.932086
-211.896296,1087,372.373681
-343.912993,627,372.973272
-331.445585,841,377.418522
445.478435,2743,393.532008
-282.664056,907,394.371657
-211.801403,1115,403.567745
-228.180805,1162,404.43698
-295.846217,1096,410.164412
-155.068776,1525,418.330995
-312.461402,965,424.719166
-374.490198,933,430.199552
-160.016736,985,435.299088
-298.60966,980,441.20763
-192.552817,1481,446.820495
-130.979839,1446,457.260085
-166.37366,1568,464.216774
497.271195,3000,480.766946
-187.33131,1329,487.062309
469.656961,1431,493.008453
-321.945197,760,499.142607
-245.080884,1108,500.15514
-367.780646,804,508.53009
-188.538132,1062,509.505726
-79.215783,1315,518.404071
-190.832211,922,519.090262
-66.00906,1398,528.524743
-310.745563,882,529.32172
-132.760667,1427,540.78124
-30.1731,2036,547.533442
-201.758207,1080,556.426956
-152.826347,1402,557.471003
-190.795286,1121,566.927918
-366.080075,916,567.64535
883.957938,2871,586.329468
-186.995422,1229,591.756356
-66.130599,1081,597.376205
-178.964684,1169,602.46916
1.373527,1550,608.642368
-82.559053,1882,620.987563
-39.395614,1721,633.899409
-153.756545,1199,639.699749
-335.78661,840,644.827469
-147.355192,1220,650.534818
-164.364251,1373,656.739808
-352.408803,952,662.748212
-341.47214,841,663.531883
-111.13673,1436,675.273636
-376.010203,974,676.168094
-168.303575,1317,686.449232
-123.689918,1392,692.307266
-307.673017,978,697.12126
-68.700398,1675,707.301836
353.292964,1192,708.444604
431.565958,3000,725.712729
474.784027,1418,735.866311
-122.357317,1624,737.12316
-354.268248,1016,748.036201
-198.485042,681,748.579431
-55.786131,1295,759.328743
104.813861,1977,766.700974
-160.921112,1277,772.67414
-74.370217,1410,778.614037
510.896051,3000,801.950362
311.421084,919,802.804501
-329.750957,891,803.616988
-348.225907,720,816.396808
1053.760065,2664,829.554651
-238.705494,1049,835.839994
325.076035,1053,841.281131
-364.939464,816,847.651038
-369.188546,849,848.399025
22.822943,1926,859.25216
-36.2476,1617,873.189408
-105.007183,1222,874.303316
-48.714457,1801,887.592035
331.353074,1443,894.395632
-177.259408,1258,907.974947
-292.587239,956,908.79018
569.907199,3000,928.212511
-289.244783,1073,934.076319
-255.74646,1035,934.992757
-166.499865,1279,950.264252
-38.920652,1504,957.289955
-118.210367,1270,965.118012
97.959151,2115,977.1449
-252.173996,1132,983.492555
-180.165141,1273,996.582996
-356.058969,937,997.440278
465.651165,1109,1008.36866
-54.891839,1202,1009.350198
622.516635,1832,1020.649334
575.045112,2171,1033.025343
-116.602405,1596,1039.722674
-47.711894,1506,1051.776202
-226.073558,1071,1052.766781
-239.024528,1088,1065.142338
38.437733,1588,1072.052533
-312.905107,1082,1077.883194
-158.831658,1578,1090.972124
-293.534459,1082,1092.040222
39.45785,2096,1103.997659
539.528062,1831,1116.011634
96.18379,2368,1122.765305
-283.533418,1067,1134.18542
432.220168,1141,1140.656361
-166.405085,1161,1147.039115
-134.804279,1280,1152.889897
-200.750016,1174,1158.399076
749.204039,2869,1176.7969
-203.613273,1287,1177.992179
-160.499272,1391,1188.458373
-255.513198,1069,1194.337571
-244.07133,973,1200.005538
19.374798,1669,1207.034785
-312.608096,1032,1214.107044
34.902756,2188,1225.218709
-175.006501,1263,1231.48432
503.147503,1302,1242.212823
-116.541288,1660,1243.720585
-176.682713,1280,1255.939531
-291.099321,1138,1261.731267
22.57123,1516,1268.303911
712.568865,1882,1280.029874
-280.504842,966,1286.453715
544.580366,1359,1292.301938
341.179341,1354,1298.532975
-163.439442,1421,1310.9946
574.533154,3000,1323.580424
682.918823,2647,1340.857824
-175.465368,1362,1347.645176
347.232062,1265,1354.293329
-267.194618,1118,1359.633536
722.336586,1750,1365.860926
-292.196943,1176,1379.695687
-235.608916,1170,1380.747259
-372.977522,853,1392.100927
402.676999,1371,1393.305865
843.691218,3000,1409.874714
-214.160701,870,1415.957636
1050.109755,2704,1436.067199
-174.800023,1172,1437.033861
284.943731,2789,1455.653047
-120.220679,1559,1463.53939
-176.922375,848,1469.337861
-159.827588,1475,1479.703003
610.54263,1987,1494.245205
-240.858823,1012,1500.833843
-321.620221,871,1501.55797
-239.881614,1268,1514.240083
506.865589,1623,1526.370286
-266.377191,1076,1527.414553
-252.512653,924,1533.77999
-83.944244,1499,1540.265821
-145.269416,1051,1546.017202
-301.883828,1048,1558.464164
-311.247133,964,1559.36352
647.283771,3000,1572.95278
616.323144,2594,1589.884144
-296.959523,946,1596.349457
-289.765281,882,1602.923212
-203.126107,1120,1607.623163
-274.661242,1112,1613.92398
1792.126829,3000,1626.244783
-322.869862,919,1638.162895
96.389241,1918,1646.338481
493.911079,1862,1651.91488
-135.928407,1098,1661.27964
-313.991626,925,1662.051171
875.736535,2457,1680.715787
103.150135,2146,1695.477919
-229.142001,1138,1696.484637
-271.714715,779,1707.895581
-199.208283,1277,1709.082041
13.320831,1902,1723.347933
51.043853,1723,1735.310961
952.702631,3000,1749.652982
-176.722621,1183,1756.913755
-306.251638,908,1767.689061
-37.298082,1492,1768.962783
-277.564899,935,1778.283877
602.1229,1777,1786.381543
-144.731785,1429,1791.644494
-228.342348,1171,1799.079784
-281.19744,1112,1803.711884
-239.59756,1190,1809.748395
485.524688,1493,1820.945516
509.426831,1172,1822.100586
-330.894025,960,1836.746286
-24.655797,1864,1843.27809
-346.967584,944,1848.842298
-293.62507,788,1849.595981
601.414995,2090,1862.406904
-200.198078,1176,1869.56465
529.69507,1861,1881.138677
1070.600524,2114,1893.610124
-344.042931,894,1894.468234
-328.030038,882,1905.338872
-217.231066,1269,1906.68574
66.199354,1876,1917.383796
1749.178321,2298,1935.280423
672.253138,3000,1949.137138
-147.70569,1603,1959.890581
-80.340098,1380,1961.209228
-28.139428,1367,1975.412035
-133.064564,1563,1983.11564
-156.617639,899,1988.879867
-45.036273,1474,1995.191123
916.529703,1997,2008.053333
88.948031,1671,2021.562128
-20.955109,1716,2034.16257
15.746911,1704,2042.257618
433.753115,1462,2049.001327
