#{"t_start": 1768475791.3345058, "env_id": "None"}
r,l,t
-204.519295,1080,1552.974349
584.654672,1825,1565.51615
-275.123377,1106,1571.96714
374.797601,1466,1582.991665
-193.531109,1278,1584.13007
-313.920889,1008,1589.978403
-305.810948,966,1596.474798
-20.345137,2002,1607.750951
498.398129,1709,1614.594434
251.782413,2163,1626.136917
-178.687057,1170,1638.333538
1257.64703,3000,1651.365261
680.031529,2670,1662.053401
189.020269,2131,1674.500731
422.450591,1349,1681.641735
803.775063,3000,1707.85907
27.71295,1853,1716.452485
1144.957788,2863,1730.020441
689.302051,1954,1742.894747
79.682969,1606,1756.104784
-52.916123,1358,1757.462308
-126.494518,1724,1768.809641
1034.293976,3000,1786.501396
-363.624038,799,1791.157202
-224.016048,1178,1798.582321
-139.196305,1426,1803.561357
41.966678,2197,1814.157632
-187.030146,1119,1821.400387
-173.775308,1129,1822.506253
1119.691936,2798,1848.364655
-153.003905,1529,1855.895721
-331.956472,943,1861.42661
-283.419139,968,1862.402912
603.77385,2222,1880.324124
446.021272,3000,1893.674968
-342.730788,879,1894.518539
11.519161,1582,1906.130849
799.162674,1817,1916.943233
726.081796,2681,1928.959231
-217.147017,1057,1936.111487
105.224035,1908,1948.968276
823.748544,1847,1959.906286
-306.015438,995,1960.862921
413.442751,1548,1975.240828
-197.887734,1012,1982.387222
-257.985868,1033,1988.42245
-178.007595,1341,1994.576052
755.779336,2815,2008.133518
569.878241,2099,2021.98567
131.626827,2630,2035.76485
-35.253705,1431,2048.668687
728.647111,1254,2056.319876
221.542347,2749,2070.751873
-150.089558,1286,2084.91815
1498.252217,3000,2098.643514
614.645773,1631,2109.74289
-108.022825,1317,2116.635367
-239.427336,1111,2124.821912
-175.967347,1306,2132.3507
-292.519933,1053,2137.20697
434.088204,1346,2143.561104
-318.665128,936,2144.353235
-332.453999,861,2157.355685
-329.885439,754,2158.08484
-80.259557,1381,2171.579522
-95.070309,1701,2178.557491
386.796642,1383,2186.175419
654.742126,1214,2192.506428
708.470221,2534,2205.132566
-280.976505,1195,2216.956846
-181.949433,1152,2217.910775
-256.920982,1178,2229.928306
-177.792266,1334,2237.309674
216.534241,2484,2250.200723
-209.013386,1029,2255.661655
979.411129,2784,2275.193129
689.827089,1534,2281.971459
465.190053,1933,2289.649359
315.029246,2111,2303.352313
-271.277441,1177,2315.604541
171.382541,2025,2323.734914
1543.236312,1883,2335.615188
-268.141306,992,2341.183537
546.548174,1689,2348.399224
782.514162,2909,2368.012365
-322.908498,1096,2376.156375
660.368853,1555,2383.137999
932.100844,2454,2397.893102
600.272085,1786,2412.008247
579.827639,1141,2419.313244
737.581854,2104,2427.384722
-144.61134,1268,2441.250898
1023.428952,3000,2461.669762
-84.407648,1921,2475.822252
411.198415,1001,2476.742009
480.453468,1362,2489.872341
2362.6725,3000,2504.754878
2147.865253,2971,2524.717615
824.548615,1951,2538.169561
651.610616,1441,2544.857669
410.511639,2621,2563.839293
881.439375,1949,2565.612174
997.32676,3000,2594.565136
599.680628,1438,2601.032633
1757.670376,2106,2613.716293
740.276113,1588,2622.865744
357.722736,1148,2630.544516
-234.265182,1281,2642.752443
-187.752496,823,2643.542573
1032.613293,2468,2658.688439
506.590918,1928,2671.942681
464.200974,838,2677.853547
669.1912,3000,2694.109042
1487.962285,3000,2716.350282
1896.93804,2125,2730.148241
-204.88488,921,2735.734785
-129.438172,1551,2743.278321
359.538778,1043,2749.934563
1261.918523,3000,2768.591034
1463.733015,3000,2783.422463
1641.270622,3000,2804.795643
515.539557,1676,2812.945789
604.797316,1071,2819.980714
1478.962683,1531,2832.870443
836.213652,1907,2846.332958
534.331521,1447,2847.69029
611.079338,1181,2860.28209
558.792608,1358,2866.625371
2251.593337,3000,2887.642951
2169.989583,2683,2902.912493
1819.748611,1614,2909.447602
344.389026,1099,2922.110042
655.474815,2146,2935.093833
685.782995,830,2936.041643
1369.790634,1264,2942.496109
1883.973116,1951,2953.337466
1077.010526,2235,2967.225753
1410.30241,1421,2978.942221
1674.955015,1610,2980.445257
1609.545916,1858,2991.379146
1404.381118,1354,3003.176391
1464.690977,1108,3004.242447
530.554211,968,3011.319635
1342.160194,1184,3016.622628
-304.343572,798,3022.484062
1614.950647,1511,3033.37078
1483.22171,1278,3034.689628
1899.298793,1909,3046.687618
1598.129353,1460,3058.368794
343.733764,961,3059.174445
1703.017742,1105,3069.384879
1376.528756,1321,3076.652095
914.976315,1708,3082.496235
1474.882504,1256,3089.690995
501.350857,836,3095.210636
1405.309052,1535,3101.652406
1781.090526,1487,3113.159812
1440.772127,1434,3120.545684
1444.015104,1293,3126.116168
1570.900132,1332,3133.149821
1447.971614,1346,3143.601607
1184.441731,837,3144.316933
650.71269,841,3149.711779
724.67144,904,3156.577116
1535.062758,1945,3168.547844
2177.620557,2727,3182.040491
962.831121,1800,3193.152567
465.461473,653,3193.788589
1385.497037,1444,3201.137509
482.878884,1048,3206.979762
1558.804298,1168,3213.516046
1641.745442,1499,3224.188319
354.00529,1170,3225.253538
1749.072053,1615,3237.963099
1332.364285,1340,3249.361811
1244.739351,1034,3250.171472
642.675659,788,3255.981531
499.930679,877,3260.737267
1257.896377,1065,3267.724147
1560.482707,1222,3273.367492
1651.94047,1440,3280.815729
641.081526,1141,3286.117121
1391.605829,934,3291.828809
1698.439383,1064,3292.896147
708.209705,999,3302.576517
669.352131,967,3303.538201
612.874719,674,3310.329055
667.581639,931,3316.207583
1253.2563,1020,3323.207219
1565.799695,1418,3327.994488
1704.609472,1242,3333.942635
514.662257,866,3338.333724
1498.993569,914,3345.252262
1470.75106,1161,3346.374712
1464.24014,1189,3357.839071
1960.083237,1226,3364.359347
1472.395035,1241,3369.402516
1868.005464,1670,3380.78457
1886.542694,1747,3388.626068
462.769256,697,3394.238887
3250.63993,2388,3405.423995
1268.694177,1051,3411.490257
3505.523429,2755,3425.335075
1583.754534,1453,3436.745739
1188.669726,862,3437.566549
671.29796,1056,3443.392929
2302.101261,2588,3455.145623
1281.71494,997,3466.659262
548.92597,937,3467.55977
1434.160728,1170,3477.674798
1394.153292,1135,3478.652518
553.416077,958,3490.03893
1454.19378,901,3490.912909
1492.792359,1107,3498.06798
1673.59072,1539,3503.366447
1431.278819,972,3510.184082
1267.291459,1058,3514.518734
1656.283793,970,3519.58849
1587.565811,1413,3527.824492
1642.091349,1469,3528.874029
1503.124454,1174,3537.230234
2923.269244,1547,3542.634735
1375.692659,1227,3547.410569
445.091832,651,3552.202272
1331.164715,1239,3556.751059
2242.139496,2178,3562.655373
436.651769,645,3570.698866
1341.107752,1155,3571.497363
494.527356,783,3575.45105
1523.869423,1120,3580.634613
773.986721,1724,3590.072791
1487.703081,1209,3590.963473
1455.191947,862,3595.914295
1213.958466,920,3599.931652
1245.158321,1025,3605.006811
1692.203664,1207,3609.541545
1707.670946,1067,3614.710259
676.431718,960,3618.7102
1430.015404,900,3623.69837
730.299556,1117,3624.513139
1438.480493,889,3632.731198
1441.399336,1126,3633.553415
1673.684801,1030,3642.081705
1553.436532,1137,3642.892492
1364.234871,1213,3652.809794
1631.12421,968,3653.516351
1910.93962,1173,3658.662835
1190.946929,931,3667.744832
1529.606617,1087,3668.515368
470.208874,878,3673.272913
1309.910607,1076,3678.401182
1411.401302,891,3679.039161
1270.742343,1103,3689.863013
1523.844548,1307,3695.331699
1462.238764,980,3700.289242
1235.764062,966,3705.292566
1542.797606,1127,3709.933624
489.757067,884,3714.96456
1483.165619,1212,3715.831151
1521.806552,1234,3725.992088
1484.053175,1084,3726.829394
1436.234176,883,3736.048848
3226.190508,2291,3747.350441
651.412216,949,3748.08377
1680.866404,1165,3753.677771
1886.776808,1229,3758.540916
492.773924,922,3763.946654
1281.658695,1121,3769.095915
2953.244963,2234,3784.646641
1282.025555,1119,3785.511073
1520.872443,1281,3794.926518
1247.332456,1051,3795.734037
1530.979273,1079,3801.300436
1447.621473,1055,3805.259631
1598.505611,1357,3810.967427
1644.800353,992,3816.159994
652.923509,768,3821.496112
1544.434524,1462,3831.819658
443.249457,799,3832.470141
1616.142259,966,3833.209317
1626.13363,899,3842.556008
1855.720963,911,3843.261741
1482.38825,1103,3853.458438
1597.547715,1222,3854.393287
1631.438257,1573,3864.789523
1508.961961,1037,3870.366425
608.608307,721,3870.923053
1425.668498,889,3875.344458
1512.83773,1089,3880.861515
1687.37331,1003,3885.401362
1398.030066,864,3890.761307
1416.213847,793,3891.355103
1661.066189,1109,3901.178229
770.096306,1272,3902.159318
1293.388041,952,3911.410736
1715.959316,1165,3912.331098
1227.179876,947,3917.757864
1755.503405,1317,3927.265409
1458.878847,875,3927.943087
1684.997263,1167,3937.106979
1453.747205,1039,3937.923247
1435.522421,879,3947.73473
1779.143762,1304,3948.719197
2072.486026,1409,3958.404203
1418.082949,746,3958.983891
3021.374108,2032,3969.523868
1395.148327,790,3974.83363
1705.303169,1165,3975.721308
2647.28791,1428,3985.992797
1766.979417,1076,3986.808456
1882.728487,1090,3995.568995
1845.166265,1031,3996.354094
1455.297796,1162,4005.882978
3055.927176,2403,4017.121444
2946.912551,1472,4022.957904
1668.919262,1085,4027.768836
1541.31887,1266,4033.408736
447.638753,707,4037.379229
1244.682426,901,4042.782847
1409.77825,811,4043.399387
1248.83046,932,4052.724189
1413.637237,914,4053.410983
1764.391368,1232,4059.039128
1701.828705,1010,4063.568897
